omics,sample_id,normalized_matrix_sample_id,subject_id,group,region_code,region,sample_role
transcriptomics,CON-R1-1,CON_R1_1,CON-1,CON,R1,frontal_cortex,biological
transcriptomics,CON-R1-2,CON_R1_2,CON-2,CON,R1,frontal_cortex,biological
transcriptomics,CON-R1-3,CON_R1_3,CON-3,CON,R1,frontal_cortex,biological
transcriptomics,Asphyxia-R1-1,Asphyxia_R1_1,Asphyxia-1,Asphyxia,R1,frontal_cortex,biological
transcriptomics,Asphyxia-R1-2,Asphyxia_R1_2,Asphyxia-2,Asphyxia,R1,frontal_cortex,biological
transcriptomics,Asphyxia-R1-3,Asphyxia_R1_3,Asphyxia-3,Asphyxia,R1,frontal_cortex,biological
proteomics,CON-1,CON-1,CON-1,CON,R1,frontal_cortex,biological
proteomics,CON-2,CON-2,CON-2,CON,R1,frontal_cortex,biological
proteomics,CON-3,CON-3,CON-3,CON,R1,frontal_cortex,biological
proteomics,CON-4,CON-4,CON-4,CON,R1,frontal_cortex,biological
proteomics,Asphyxia-1,Asphyxia-1,Asphyxia-1,Asphyxia,R1,frontal_cortex,biological
proteomics,Asphyxia-2,Asphyxia-2,Asphyxia-2,Asphyxia,R1,frontal_cortex,biological
proteomics,Asphyxia-3,Asphyxia-3,Asphyxia-3,Asphyxia,R1,frontal_cortex,biological
proteomics,Asphyxia-4,Asphyxia-4,Asphyxia-4,Asphyxia,R1,frontal_cortex,biological
metabolomics,CON-1,CON-1,CON-1,CON,R1,frontal_cortex,biological
metabolomics,CON-2,CON-2,CON-2,CON,R1,frontal_cortex,biological
metabolomics,CON-3,CON-3,CON-3,CON,R1,frontal_cortex,biological
metabolomics,CON-4,CON-4,CON-4,CON,R1,frontal_cortex,biological
metabolomics,CON-5,CON-5,CON-5,CON,R1,frontal_cortex,biological
metabolomics,CON-6,CON-6,CON-6,CON,R1,frontal_cortex,biological
metabolomics,Asphyxia-1,Asphyxia-1,Asphyxia-1,Asphyxia,R1,frontal_cortex,biological
metabolomics,Asphyxia-2,Asphyxia-2,Asphyxia-2,Asphyxia,R1,frontal_cortex,biological
metabolomics,Asphyxia-3,Asphyxia-3,Asphyxia-3,Asphyxia,R1,frontal_cortex,biological
metabolomics,Asphyxia-4,Asphyxia-4,Asphyxia-4,Asphyxia,R1,frontal_cortex,biological
metabolomics,Asphyxia-5,Asphyxia-5,Asphyxia-5,Asphyxia,R1,frontal_cortex,biological
metabolomics,Asphyxia-6,Asphyxia-6,Asphyxia-6,Asphyxia,R1,frontal_cortex,biological
metabolomics,QC1,QC1,,QC,R1,frontal_cortex,quality_control
metabolomics,QC2,QC2,,QC,R1,frontal_cortex,quality_control
metabolomics,QC3,QC3,,QC,R1,frontal_cortex,quality_control
