"GeneID","GeneName","baseMean","log2FoldChange_raw","log2FoldChange","lfcSE","stat","pvalue","padj","FDRRegulation","ThresholdRegulation"
"ENSMUSG00000064351","mt-Co1",419511.541174511,-0.518505865541775,-0.486411862261552,0.0841435846137578,-6.32813977149389,2.48134333128734e-10,6.98125946257693e-07,"FDR down","Not significant"
"ENSMUSG00000023036","Pcdhgc4",3102.1783070194,-0.47533867245682,-0.451597869047156,0.0767660819167992,-6.34483446235362,2.22664738738157e-10,6.98125946257693e-07,"FDR down","Not significant"
"ENSMUSG00000038274","Fau",2800.938013884,-0.439702872398576,-0.417319165253996,0.0719209429901418,-6.26468568955192,3.7357815382482e-10,7.00708090524088e-07,"FDR down","Not significant"
"ENSMUSG00000007653","Gabrb2",2053.59643235515,0.511328101049668,0.484524479969813,0.0845663524414179,6.2068059743848,5.4072288545999e-10,7.60661919120841e-07,"FDR up","Not significant"
"ENSMUSG00000102070","Gm28661",110390.162006693,-0.610384115873834,-0.571517010297768,0.110279986978319,-5.72010938498349,1.06455496218336e-08,1.19805015444116e-05,"FDR down","Down"
"ENSMUSG00000047215","Rpl9",5303.00444808906,-0.562333191455204,-0.524889259446181,0.104197629409774,-5.58462961463475,2.34198797236341e-08,2.19639438674815e-05,"FDR down","Down"
"ENSMUSG00000037071","Scd1",3620.81402051027,-0.407011493467143,-0.378761298219146,0.0780369984486649,-5.39244779478715,6.95042961857083e-08,5.58715249481401e-05,"FDR down","Not significant"
"ENSMUSG00000093674","Rpl41",6202.21950078036,-0.43454322592396,-0.403565266266262,0.0842410964424716,-5.34241875249753,9.17144827450761e-08,6.45096743008179e-05,"FDR down","Not significant"
"ENSMUSG00000064370","mt-Cytb",126177.02174784,-0.536946083253785,-0.507536418048722,0.105607009105262,-5.27934977517367,1.29643118005409e-07,8.10557583351595e-05,"FDR down","Down"
"ENSMUSG00000064341","mt-Nd1",98355.1508512144,-0.587617368170528,-0.550232650628028,0.116988926635516,-5.23056584208991,1.68991972553833e-07,8.64470754145834e-05,"FDR down","Down"
"ENSMUSG00000044533","Rps2",6855.67141446108,-0.443755562223564,-0.410731247301289,0.0878090167053973,-5.24385022191375,1.57259875341763e-07,8.64470754145834e-05,"FDR down","Not significant"
"ENSMUSG00000057036","Gm7536",1826.60875319696,-0.482646330639676,-0.44396137139926,0.0989062690831298,-5.08397367855376,3.69619182820135e-07,0.000173320595144075,"FDR down","Not significant"
"ENSMUSG00000063457","Rps15",5132.45958058413,-0.390981327437623,-0.358766867376545,0.0817769870003925,-4.97415007129751,6.55345270525283e-07,0.000283663679788136,"FDR down","Not significant"
"ENSMUSG00000062661","Ncs1",6606.44371386408,-0.393782690082597,-0.359552848206646,0.0848081126902505,-4.84431302984078,1.27050493403555e-06,0.000510652233129861,"FDR down","Not significant"
"ENSMUSG00000059325","Hopx",689.739791880814,-0.963827021068291,-0.870514292696391,0.213950786724545,-4.76167941871619,1.91988499576799e-06,0.0007202128580791,"FDR down","Down"
"ENSMUSG00000045128","Rpl18a",3612.57082374434,-0.446617397282313,-0.404844506499053,0.0991629493284126,-4.72390515668554,2.31358347040159e-06,0.000797397361698871,"FDR down","Not significant"
"ENSMUSG00000047126","Cltc",12391.0820964809,0.426527594675097,0.388446537188284,0.0948083134413254,4.71567937468171,2.40905547341049e-06,0.000797397361698871,"FDR up","Not significant"
"ENSMUSG00000010663","Fads1",4509.57920557382,-0.433002491272342,-0.39201372013312,0.0967892294204704,-4.693564366822,2.68485460315624e-06,0.000839315380664454,"FDR down","Not significant"
"ENSMUSG00000064360","mt-Nd3",19897.4380205447,-0.616120324104739,-0.552770387190165,0.14029035889841,-4.64659229788603,3.37463181723002e-06,0.000949452661777667,"FDR down","Down"
"ENSMUSG00000059291","Rpl11",3614.34221448566,-0.391001314318789,-0.353624588893578,0.0879900279751274,-4.65627064654752,3.21988603320339e-06,0.000949452661777667,"FDR down","Not significant"
"ENSMUSG00000083563","Gm13340",913.041257547897,-0.55888205425067,-0.502361390861289,0.128109285340061,-4.608633701489,4.0532369322005e-06,0.00100495624541458,"FDR down","Down"
"ENSMUSG00000040952","Rps19",2347.95030420562,-0.547501018423812,-0.492538365236815,0.125513124486351,-4.60585761661832,4.10769391230413e-06,0.00100495624541458,"FDR down","Not significant"
"ENSMUSG00000024608","Rps14",4763.5401719582,-0.376300056168174,-0.340363051530621,0.0852795176260263,-4.62214482960515,3.79792699813514e-06,0.00100495624541458,"FDR down","Not significant"
"ENSMUSG00000022054","Nefm",5481.30937287885,0.510388616005755,0.450893128097557,0.118578203269541,4.55627373694395,5.20690707946972e-06,0.00121703084265213,"FDR up","Not significant"
"ENSMUSG00000008668","Rps18",2069.23945608078,-0.393325833133264,-0.353887740499059,0.0908718156568533,-4.54833881152671,5.40710344167465e-06,0.00121703084265213,"FDR down","Not significant"
