"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia","AveExpr","log2FoldChange","t","pvalue","padj","B","FDRRegulation","ThresholdRegulation","ExploratoryRegulation"
"Q8CAM5","Rab36","76877","Ras-related protein Rab-36",0.25,0,11.7892464621232,1.35900420893722,5.10664221085688,0.000552311653460289,0.999906683574988,-2.67364657064531,"Not significant","Not significant","Up"
"Q9D6J4","Necab3","56846","N-terminal EF-hand calcium-binding protein 3",0,0.25,15.8458890248284,-0.801619827966977,-4.90914430901416,0.000729884897234686,0.999906683574988,-2.73315935110975,"Not significant","Not significant","Down"
"Q99MS3","Mpv17l","93734","Mpv17-like protein",0,0,15.2615446416725,0.83049706863425,4.7544911882449,0.000911524547983801,0.999906683574988,-2.7824797411859,"Not significant","Not significant","Up"
"Q9R0L7","Akap8l","54194","A-kinase anchor protein 8-like",0,0,19.2399476723281,-0.319408950449045,-4.64555721726113,0.00106819980468235,0.999906683574988,-2.81871815555798,"Not significant","Not significant","Not significant"
"Q8K479","C1qtnf5","235312","Complement C1q tumor necrosis factor-related protein 5",0.5,0,11.8007320246074,1.29385247049895,4.51222465637828,0.00130010167540718,0.999906683574988,-2.86482089048846,"Not significant","Not significant","Up"
"P26262","Klkb1","16621","Plasma kallikrein",0,0.5,16.0500555369572,-0.488514845332805,-4.14283968737016,0.00227043946569179,0.999906683574988,-3.00311634887976,"Not significant","Not significant","Not significant"
"Q64444","Ca4","12351","Carbonic anhydrase 4",0,0,17.442203014396,0.385557421420856,4.10329949474841,0.00241279126164418,0.999906683574988,-3.0188781440456,"Not significant","Not significant","Not significant"
"P01864","P01864","621968","Ig gamma-2A chain C region secreted form",0,0,14.8394103981847,-0.92134903585568,-4.03076667841182,0.00269902530226431,0.999906683574988,-3.04828850876634,"Not significant","Not significant","Down"
"P83877","Txnl4a","27366","Thioredoxin-like protein 4A",0,0,16.9735301848002,0.267884451707104,3.97262100069375,0.00295433235356487,0.999906683574988,-3.07233393419171,"Not significant","Not significant","Not significant"
"P01872","Ighm","14999","Immunoglobulin heavy constant mu",0,0,13.9042749449343,-0.575834483694427,-3.89107464787308,0.00335611468135156,0.999906683574988,-3.10676645555737,"Not significant","Not significant","Down"
"Q61133","Gstt2","14872","Glutathione S-transferase theta-2",0.5,0,14.0308882828409,0.436211048927106,3.80670209895917,0.00383290700345959,0.999906683574988,-3.1432731851741,"Not significant","Not significant","Not significant"
"Q3U1N2","Srebf2","20788","Sterol regulatory element-binding protein 2",0.25,0,9.66765759591001,4.22866409296227,3.90914625919531,0.00431753683873239,0.999906683574988,-3.21601295074512,"Not significant","Not significant","Up"
