"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia","AveExpr","log2FoldChange","t","pvalue","padj","B","FDRRegulation","ThresholdRegulation","ExploratoryRegulation"
"Q8CAM5","Rab36","76877","Ras-related protein Rab-36",0.25,0,11.7892464621232,1.35900420893722,5.10664221085688,0.000552311653460289,0.999906683574988,-2.67364657064531,"Not significant","Not significant","Up"
"Q9D6J4","Necab3","56846","N-terminal EF-hand calcium-binding protein 3",0,0.25,15.8458890248284,-0.801619827966977,-4.90914430901416,0.000729884897234686,0.999906683574988,-2.73315935110975,"Not significant","Not significant","Down"
"Q99MS3","Mpv17l","93734","Mpv17-like protein",0,0,15.2615446416725,0.83049706863425,4.7544911882449,0.000911524547983801,0.999906683574988,-2.7824797411859,"Not significant","Not significant","Up"
"Q8K479","C1qtnf5","235312","Complement C1q tumor necrosis factor-related protein 5",0.5,0,11.8007320246074,1.29385247049895,4.51222465637828,0.00130010167540718,0.999906683574988,-2.86482089048846,"Not significant","Not significant","Up"
"P01864","P01864","621968","Ig gamma-2A chain C region secreted form",0,0,14.8394103981847,-0.92134903585568,-4.03076667841182,0.00269902530226431,0.999906683574988,-3.04828850876634,"Not significant","Not significant","Down"
"P01872","Ighm","14999","Immunoglobulin heavy constant mu",0,0,13.9042749449343,-0.575834483694427,-3.89107464787308,0.00335611468135156,0.999906683574988,-3.10676645555737,"Not significant","Not significant","Down"
"Q3U1N2","Srebf2","20788","Sterol regulatory element-binding protein 2",0.25,0,9.66765759591001,4.22866409296227,3.90914625919531,0.00431753683873239,0.999906683574988,-3.21601295074512,"Not significant","Not significant","Up"
"Q8CG80","Shf","435684","SH2 domain-containing adapter protein F",0.25,0,14.9908585803942,0.610544627593171,3.64421252083459,0.00496277505530098,0.999906683574988,-3.21613077486152,"Not significant","Not significant","Up"
"O08677","Kng1","16644","Kininogen-1",0,0,17.0917353547583,-0.64979308396973,-3.56918282265422,0.00577725967969015,0.999906683574988,-3.26423731822997,"Not significant","Not significant","Down"
"Q9JKB3","Ybx3","56449","Y-box-binding protein 3",0,0,12.87433364644,0.5318340208182,3.54025960784541,0.00586435222218763,0.999906683574988,-3.26451483818774,"Not significant","Not significant","Up"
"P61205","Arf3","11842","ADP-ribosylation factor 3",0,0,17.7420483066579,0.704820500177053,3.53558312802831,0.00639611524088353,0.999906683574988,-3.29998374291179,"Not significant","Not significant","Up"
"Q9D270","Zdhhc21","68268","Palmitoyltransferase ZDHHC21",0,0,14.3011221271142,-0.743360602371201,-3.41946665238989,0.00713046194802662,0.999906683574988,-3.3224772958899,"Not significant","Not significant","Down"
