"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"Q8CCS6","Pabpn1","54196","Polyadenylate-binding protein 2",0,0
"Q3UGC7","Eif3j1","78655","Eukaryotic translation initiation factor 3 subunit J-A",0,0
"Q5U430","Ubr3","68795","E3 ubiquitin-protein ligase UBR3",0,0
"Q91YE6","Ipo9","226432","Importin-9",0,0
"P63085","Mapk1","26413","Mitogen-activated protein kinase 1",0,0
"Q63844","Mapk3","26417","Mitogen-activated protein kinase 3",0,0
"Q8CH72","Trim32","69807","E3 ubiquitin-protein ligase TRIM32",0,0
"Q8BKC5","Ipo5","70572","Importin-5",0,0
"Q8K3M5","Cables2","252966","CDK5 and ABL1 enzyme substrate 2",0,0
"Q9CX34","Sugt1","67955","Protein SGT1 homolog",0,0
"Q8C1Y8","Ccz1","231874","Vacuolar fusion protein CCZ1 homolog",0,0
"Q9D1H7","Get4","67604","Golgi to ER traffic protein 4 homolog",0,0
"Q6P4S6","Sik3","70661","Serine/threonine-protein kinase SIK3",0,0
"Q9D3B1","Hacd2","70757","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2",0,0
"Q3UVL4","Vps51","68505","Vacuolar protein sorting-associated protein 51 homolog",0,0
"Q9CWG9","Bloc1s2","73689","Biogenesis of lysosome-related organelles complex 1 subunit 2",0,0
"Q6P5E8","Dgkq","110524","Diacylglycerol kinase theta",0,0
"Q8CH25","Sltm","66660","SAFB-like transcription modulator",0,0
"Q505F5","Lrrc47","72946","Leucine-rich repeat-containing protein 47",0,0
"P58069","Rasa2","114713","Ras GTPase-activating protein 2",0,0
"P42567","Eps15","13858","Epidermal growth factor receptor substrate 15",0,0
"Q8C754","Vps52","224705","Vacuolar protein sorting-associated protein 52 homolog",0,0
"Q8BG32","Psmd11","69077","26S proteasome non-ATPase regulatory subunit 11",0,0
"B1AZI6","Thoc2","331401","THO complex subunit 2",0,0
"Q9EP69","Sacm1l","83493","Phosphatidylinositol-3-phosphatase SAC1",0,0
"P55264","Adk","11534","Adenosine kinase",0,0
"Q76MZ3","Ppp2r1a","51792","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",0,0
"Q9R1T4","Septin6","56526","Septin-6",0,0
"Q9ER73","Elp4","77766","Elongator complex protein 4",0,0
"O35445","Rnf5","54197","E3 ubiquitin-protein ligase RNF5",0.25,0.25
"P35282","Rab21","216344","Ras-related protein Rab-21",0,0
"Q9Z266","Snapin","20615","SNARE-associated protein Snapin",0,0
"Q8BIV3","Ranbp6","240614","Ran-binding protein 6",0,0
"P61329","Fgf12","14167","Fibroblast growth factor 12",0,0
"P62878","Rbx1","56438","E3 ubiquitin-protein ligase RBX1",0,0
"Q91WG2","Rabep2","70314","Rab GTPase-binding effector protein 2",0,0
"Q9D7J4","Cox20","66359","Cytochrome c oxidase assembly protein COX20, mitochondrial",0,0
"P52432","Polr1c","20016","DNA-directed RNA polymerases I and III subunit RPAC1",0,0
"Q9R0A1","Clcn2","12724","Chloride channel protein 2",0,0
"Q9WU40","Lemd3","380664","Inner nuclear membrane protein Man1",0,0
"Q9ESJ1","Cables1","63955","CDK5 and ABL1 enzyme substrate 1",0,0
"Q80TM9","Nisch","64652","Nischarin",0,0
"Q9CPQ3","Tomm22","223696","Mitochondrial import receptor subunit TOM22 homolog",0,0
"Q8BR90","Rimoc1","106064","RAB7A-interacting MON1-CCZ1 complex subunit 1",0,0
"P34152","Ptk2","14083","Focal adhesion kinase 1",0,0
"D3YUE4","Fam151b","73942","Protein FAM151B",0,0
"O55229","Chkb","12651","Choline/ethanolamine kinase",0,0
"Q9QX47","Son","20658","Protein SON",0,0
"P70296","Pebp1","23980","Phosphatidylethanolamine-binding protein 1",0,0
"E9PVA8","Gcn1","231659","Stalled ribosome sensor GCN1",0,0
"O35382","Exoc4","20336","Exocyst complex component 4",0,0
"Q7TQI3","Otub1","107260","Ubiquitin thioesterase OTUB1",0,0
"Q6P5D8","Smchd1","74355","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",0,0
"E9Q4P1","Wdfy1","69368","WD repeat and FYVE domain-containing protein 1",0,0.5
"Q8BUB4","Wdfy2","268752","WD repeat and FYVE domain-containing protein 2",0,0
"Q9CR95","Necap1","67602","Adaptin ear-binding coat-associated protein 1",0,0
"Q8CB77","Eloa","27224","Elongin-A",0,0
"Q6Y7W8","Gigyf2","227331","GRB10-interacting GYF protein 2",0,0
"Q9D1J3","Sarnp","66118","SAP domain-containing ribonucleoprotein",0,0
"Q8R4R6","Nup35","69482","Nucleoporin NUP35",0,0
"Q9CQM9","Glrx3","30926","Glutaredoxin-3",0,0
"O89050","Mkln1","27418","Muskelin",0,0
"Q8QZY9","Sf3b4","107701","Splicing factor 3B subunit 4",0,0
"Q00558","F8a1","14070","40-kDa huntingtin-associated protein",0,0
"Q9D8N0","Eef1g","67160","Elongation factor 1-gamma",0,0
"O88630","Gosr1","53334","Golgi SNAP receptor complex member 1",0,0
"Q9Z0V1","Kcnd3","56543","A-type voltage-gated potassium channel KCND3",0,0
"Q03719","Kcnd1","16506","A-type voltage-gated potassium channel KCND1",0,0.25
"Q9D0E1","Hnrnpm","76936","Heterogeneous nuclear ribonucleoprotein M",0,0
"Q6P5G6","Ubxn7","224111","UBX domain-containing protein 7",0,0
"Q9D2N9","Vps33a","77573","Vacuolar protein sorting-associated protein 33A",0,0
"Q04690","Nf1","18015","Neurofibromin",0,0
"Q9CR26","Vta1","125179616","Vacuolar protein sorting-associated protein VTA1 homolog",0,0
"Q8CGC7","Eprs1","107508","Bifunctional glutamate/proline--tRNA ligase",0,0
"O88952","Lin7c","22343","Protein lin-7 homolog C",0,0
"Q3THK3","Gtf2f1","98053","General transcription factor IIF subunit 1",0,0
"Q8K2Q0","Commd9","76501","COMM domain-containing protein 9",0,0
"Q9Z0Y1","Dctn3","53598","Dynactin subunit 3",0,0
"O88951","Lin7b","22342","Protein lin-7 homolog B",0,0
"B2RQC6","Cad","69719","Multifunctional protein CAD",0,0
"Q5NCQ5","Dph1","116905","2-(3-amino-3-carboxypropyl)histidine synthase subunit 1",0,0
"Q9QZ08","Nagk","56174","N-acetyl-D-glucosamine kinase",0,0
"Q8CIG8","Prmt5","27374","Protein arginine N-methyltransferase 5",0,0
"Q60936","Coq8a","67426","Atypical kinase COQ8A, mitochondrial",0,0
"P70380","Il18","16173","Interleukin-18",0,0
"Q91VC3","Eif4a3","192170","Eukaryotic initiation factor 4A-III",0,0
"P62322","Lsm5","66373","U6 snRNA-associated Sm-like protein LSm5",0,0
"Q3TXT3","Inip","66209","SOSS complex subunit C",0,0.5
"Q9D6K8","Fundc2","67391","FUN14 domain-containing protein 2",0,0
"Q9DBS1","Tmem43","74122","Transmembrane protein 43",0,0
"Q9D6Y9","Gbe1","74185","1,4-alpha-glucan-branching enzyme",0,0
"Q8VBT9","Aspscr1","68938","Tether containing UBX domain for GLUT4",0,0
"Q9CQ60","Pgls","66171","6-phosphogluconolactonase",0,0
"A2BDX3","Mocs3","69372","Adenylyltransferase and sulfurtransferase MOCS3",0,0
"Q3TDN2","Faf2","76577","FAS-associated factor 2",0,0
"Q9D2R6","Coa3","52469","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",0,0
"Q60902","Eps15l1","13859","Epidermal growth factor receptor substrate 15-like 1",0,0
"Q8K0T0","Rtn1","104001","Reticulon-1",0,0
"Q9D0R8","Lsm12","268490","Protein LSM12",0,0
"Q99J99","Mpst","246221","3-mercaptopyruvate sulfurtransferase",0,0
"Q62523","Zyx","22793","Zyxin",0,0
"P56213","Gfer","11692","FAD-linked sulfhydryl oxidase ALR",0,0
"Q8BLY2","Tars3","272396","Threonine--tRNA ligase 2, cytoplasmic",0,0
"Q8BJY1","Psmd5","66998","26S proteasome non-ATPase regulatory subunit 5",0,0
"Q8C5W0","Clmn","94040","Calmin",0,0
"P62827","Ran","19384","GTP-binding nuclear protein Ran",0,0
"Q9WV98","Timm9","30056","Mitochondrial import inner membrane translocase subunit Tim9",0,0
"Q8JZY2","Commd10","69456","COMM domain-containing protein 10",0,0
"O88384","Vti1b","53612","Vesicle transport through interaction with t-SNAREs homolog 1B",0,0
"Q9CYN2","Spcs2","66624","Signal peptidase complex subunit 2",0,0
"Q3TFQ1","Spryd7","66674","SPRY domain-containing protein 7",0,0
"Q66GT5","Ptpmt1","66461","Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1",0,0
"Q61249","Igbp1","18518","Immunoglobulin-binding protein 1",0,0
"Q8BYK5","Phactr3","74189","Phosphatase and actin regulator 3",0,0
"Q99104","Myo5a","17918","Unconventional myosin-Va",0,0
"Q8BFU3","Rnf214","235315","RING finger protein 214",0,0
"P54822","Adsl","11564","Adenylosuccinate lyase",0,0
"Q6NZB0","Dnajc8","68598","DnaJ homolog subfamily C member 8",0,0
"O35864","Cops5","26754","COP9 signalosome complex subunit 5",0,0
"Q9D892","Itpa","16434","Inosine triphosphate pyrophosphatase",0,0
"Q91X84","Crtc3","70461","CREB-regulated transcription coactivator 3",0.5,0
"E9PUL5","Prrt2","69017","Proline-rich transmembrane protein 2",0,0
"Q9CRB6","Tppp3","67971","Tubulin polymerization-promoting protein family member 3",0,0
"Q9CWM4","Pfdn1","67199","Prefoldin subunit 1",0,0
"Q8CHW4","Eif2b5","224045","Translation initiation factor eIF2B subunit epsilon",0,0
"Q9QYI3","Dnajc7","56354","DnaJ homolog subfamily C member 7",0,0
"P97496","Smarcc1","20588","SWI/SNF complex subunit SMARCC1",0,0
"Q9CR62","Slc25a11","67863","Mitochondrial 2-oxoglutarate/malate carrier protein",0,0
"Q61136","Prp4k","19134","Serine/threonine-protein kinase PRP4 homolog",0,0
"Q9JK23","Psmg1","56088","Proteasome assembly chaperone 1",0,0
"Q9DCC4","Pycr3","66194","Pyrroline-5-carboxylate reductase 3",0,0
"Q8VDN4","Ccdc92","215707","Coiled-coil domain-containing protein 92",0,0
"Q9CZY3","Ube2v1","66589","Ubiquitin-conjugating enzyme E2 variant 1",0,0
"Q8BTX9","Hsdl1","72552","Inactive hydroxysteroid dehydrogenase-like protein 1",0,0
"Q9JMA2","Qtrt1","60507","Queuine tRNA-ribosyltransferase catalytic subunit 1",0,0
"Q9D8U8","Snx5","69178","Sorting nexin-5",0,0
"Q3UFF7","Lyplal1","226791","Lysophospholipase-like protein 1",0,0
"Q9D198","Syf2","68592","Pre-mRNA-splicing factor SYF2",0,0.25
"Q8R1Z9","Rnf121","75212","E3 ubiquitin ligase Rnf121",0,0
"Q91V09","Wdr13","73447","WD repeat-containing protein 13",0,0
"Q91W86","Vps11","71732","Vacuolar protein sorting-associated protein 11 homolog",0,0
"Q9D8E6","Rpl4","67891","Large ribosomal subunit protein uL4",0,0
"P16045","Lgals1","16852","Galectin-1",0,0
"Q9DBR3","Armc8","74125","Armadillo repeat-containing protein 8",0,0
"Q8BMG7","Rab3gap2","98732","Rab3 GTPase-activating protein non-catalytic subunit",0,0
"Q791V5","Mtch2","56428","Mitochondrial carrier homolog 2",0,0
"Q9ESX5","Dkc1","245474","H/ACA ribonucleoprotein complex subunit DKC1",0,0
"P11404","Fabp3","14077","Fatty acid-binding protein, heart",0,0
"E9Q401","Ryr2","20191","Ryanodine receptor 2",0,0
"Q9D708","S100a16","67860","Protein S100-A16",0,0
"Q8VH51","Rbm39","170791","RNA-binding protein 39",0,0
"P63242","Eif5a","276770","Eukaryotic translation initiation factor 5A-1",0,0
"Q8BWY3","Etf1","225363","Eukaryotic peptide chain release factor subunit 1",0,0
"P62311","Lsm3","67678","U6 snRNA-associated Sm-like protein LSm3",0,0
"Q9D289","Trappc6b","78232","Trafficking protein particle complex subunit 6B",0,0
"Q3UHD6","Snx27","76742","Sorting nexin-27",0,0
"P56812","Pdcd5","56330","Programmed cell death protein 5",0,0
"Q8BGY2","Eif5a2","208691","Eukaryotic translation initiation factor 5A-2",0,0
"Q9Z2Z6","Slc25a20","57279","Mitochondrial carnitine/acylcarnitine carrier protein",0,0
"O70310","Nmt1","18107","Glycylpeptide N-tetradecanoyltransferase 1",0,0
"Q9WUK2","Eif4h","22384","Eukaryotic translation initiation factor 4H",0,0
"P47753","Capza1","12340","F-actin-capping protein subunit alpha-1",0,0
"P27601","Gna13","14674","Guanine nucleotide-binding protein subunit alpha-13",0,0
"O35295","Purb","19291","Transcriptional regulator protein Pur-beta",0,0
"P62141","Ppp1cb","19046","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",0,0
"Q9JK92","Hspb8","80888","Heat shock protein beta-8",0,0
"Q9EPK7","Xpo7","65246","Exportin-7",0,0
"P62281","Rps11","27207","Small ribosomal subunit protein uS17",0,0
"Q6ZWY8","Tmsb10","19240","Thymosin beta-10",0,0
"Q9CT10","Ranbp3","71810","Ran-binding protein 3",0,0
"P47754","Capza2","12343","F-actin-capping protein subunit alpha-2",0,0
"Q8BG81","Poldip3","73826","Polymerase delta-interacting protein 3",0,0
"P27546","Map4","17758","Microtubule-associated protein 4",0,0
"Q9D7V2","Lysmd2","70082","LysM and putative peptidoglycan-binding domain-containing protein 2",0,0
"P40124","Cap1","12331","Adenylyl cyclase-associated protein 1",0,0
"Q8C0C7","Farsa","66590","Phenylalanine--tRNA ligase alpha subunit",0,0
"P68404","Prkcb","18751","Protein kinase C beta type",0,0
"Q61768","Kif5b","16573","Kinesin-1 heavy chain",0,0
