"Accession","GeneName","CON-1","CON-2","CON-3","CON-4","Asphyxia-1","Asphyxia-2","Asphyxia-3","Asphyxia-4"
"Q8CCS6","Pabpn1",16.2575464751587,16.2401411081368,16.3582283984952,16.5788880124206,16.438748730728,16.2235425226611,16.424545491029,16.3339825593611
"Q3UGC7","Eif3j1",18.0755244840538,18.0450267694188,17.7411249398185,17.8541206700823,17.9583304003622,17.7647266618949,17.9865836939597,17.949101110151
"Q5U430","Ubr3",17.7910582435661,17.8215130251171,17.9842101473104,18.0027532318184,17.7782893567295,17.9945812305231,17.9660205853798,18.0411079277435
"Q91YE6","Ipo9",17.4837694819409,17.3651076506004,17.4385940894298,17.5193530777503,17.4470143577066,17.5195010782903,17.4771307816236,17.4417404174756
"P63085","Mapk1",19.9875480321097,20.9591823650002,20.1989453583127,20.2683709892519,20.4986657095317,19.9661022025827,20.88315199758,20.6426274534659
"Q63844","Mapk3",20.7297975525537,21.7664260421276,21.0693828896524,21.0195430469828,21.2973742471723,20.5627271769381,21.7138674941654,21.4865669692948
"Q8CH72","Trim32",18.4243086810751,18.3691459788537,18.3446418883302,18.3290975091474,18.3629066948756,18.5357500920334,18.3248028955661,18.3976666468423
"Q8BKC5","Ipo5",18.6361121276161,18.6652843391058,18.6958798455565,18.7768017096613,18.5964919090904,18.6664878253174,18.741734444407,18.64707409223
"Q8K3M5","Cables2",14.9280804530552,15.3160006027559,14.8765466098601,15.0537108855481,15.2566797227279,15.0282900651492,15.2332980728027,14.8144672471748
"Q9CX34","Sugt1",19.1521469888586,19.0627792227907,19.0411448024764,19.0142177143519,19.2291761888272,19.1428681382773,19.1403395480624,19.0678964694371
"Q8C1Y8","Ccz1",16.1347099285175,16.0972018931561,16.1122141432967,16.126207541229,16.1177811054158,16.1213175659124,16.2005795119974,16.0182184105837
"Q9D1H7","Get4",16.9591942615897,17.0093111049352,17.1665806710835,17.1017896478042,17.0811339307526,16.9380024698752,17.176454791582,17.1272543654963
"Q6P4S6","Sik3",17.6290782943331,17.4762393838951,17.7276509793426,17.6439050174661,17.4165477791162,17.5415056681252,17.5337978248654,17.6521254150504
"Q9D3B1","Hacd2",16.9794645718806,17.1300651711411,16.9432358525188,16.9939617400631,17.1560471672436,17.057718635783,17.2860969624968,17.0389080770847
"Q3UVL4","Vps51",17.5724045208657,17.6432160549046,17.6610158365154,17.6866034349251,17.6189586802263,17.6528023285847,17.6435174921065,17.5864121511482
"Q9CWG9","Bloc1s2",11.1195182935814,10.991684211192,10.5103432561919,10.7621479271443,10.7285351487277,10.1506826440665,10.4727958252934,10.8263970299499
"Q6P5E8","Dgkq",16.7438154243002,16.7840054524513,16.7368013137899,16.6096404744368,16.4899933906073,16.5430358618789,16.8777964142504,16.8063898925911
"Q8CH25","Sltm",16.8887921054156,17.0180582601801,17.1176781011134,17.3241246185129,17.2578107575134,17.1790111524479,17.2148693502517,17.2323517986766
"Q505F5","Lrrc47",17.0224890443462,17.1865079620934,17.1194623661427,17.2481811850613,16.9209440741931,17.1668388342512,17.2127928833416,17.286082701176
"P58069","Rasa2",17.1637783895246,16.994188902867,17.1724289330699,17.5517900533853,17.1621431077369,17.1106986230243,17.1255686038919,17.2849537661137
"P42567","Eps15",15.3753770449364,15.1603215822929,15.4805151890264,15.4559048445869,15.2625840867803,15.4505382443282,15.3314046931222,15.2064016497713
"Q8C754","Vps52",17.1530876809663,17.2887169312597,17.2481147579322,17.376619578009,17.3623507205585,17.2038689175131,17.3102499625963,17.2269445242187
"Q8BG32","Psmd11",19.1462367410743,19.307874788955,19.3073724585644,19.2858760518971,19.3397480021497,19.1626808255305,19.352546354896,19.2239086178295
"B1AZI6","Thoc2",13.6622023643199,13.8496878046006,13.4380187405247,13.9151483384621,13.6227527051692,13.682272027872,13.8746678068797,13.8170510470609
"Q9EP69","Sacm1l",17.8191972570442,17.6848427917269,17.7531434550062,17.8822556303184,17.7479064854066,17.8275644877822,17.6512739889392,17.716433259401
"P55264","Adk",18.3478924556116,18.1959404626611,18.5088503673038,18.6864296554019,18.3034076149315,18.4154944196175,18.2627938712149,18.4176720075945
"Q76MZ3","Ppp2r1a",21.8376824543764,21.797728257534,21.8664886139395,21.861985825576,21.845848140891,21.7166951982437,21.8549413143346,21.8398504462099
