"GeneName","GeneID","Accession","RNAFeatureCount","ProteinFeatureCount","RNABaseMean","RNA_log2FC","RNA_pvalue","RNA_padj","ProteinAveExpr","Protein_log2FC","Protein_pvalue","Protein_padj","RNAEffect","ProteinEffect","RNAEvidence","ProteinEvidence","Evidence","NineQuadrant","NineCell","LabelScore"
"Plcxd2","ENSMUSG00000087141","B2RXA1","1","1",1758.20011893552,0.713818611494364,3.85552641705741e-05,0.0140543740087549,13.8105705283945,0.693554788230248,0.0228580861191762,0.999906683574988,"Up","Up",TRUE,TRUE,"Both","Concordant up","RNA up / Protein up",3.49314862878096
"Necab3","ENSMUSG00000027489","Q9D6J4","1","1",1073.93308208569,0.0367395010389021,0.0401073285643056,0.658967391468694,15.8458890248284,-0.801619827966977,0.000729884897234686,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",3.31788169829717
"Rab36","ENSMUSG00000020175","Q8CAM5","1","1",329.439656951027,-0.0136576746425806,0.538584318356271,0.999163298615518,11.7892464621232,1.35900420893722,0.000552311653460289,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",3.25817932021147
"Mpv17l","ENSMUSG00000022679","Q99MS3","1","1",1210.34294039824,0.00382035572346492,0.896090865062898,0.99955764995295,15.2615446416725,0.83049706863425,0.000911524547983801,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",3.04042378368905
"C1qtnf5","ENSMUSG00000079592","Q8K479","1","1",205.790798818642,-0.0608170921247191,0.051805593729753,0.732119195812407,11.8007320246074,1.29385247049895,0.00130010167540718,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",3.02144088805112
"Igsf1","ENSMUSG00000031111","Q7TQA1","1","1",96.9190954243769,-0.0188707503294302,0.000430863634708152,0.0689319819428692,14.7877789740953,1.31361022450022,0.0293765880421348,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.69357788138204
"Ighm","ENSMUSG00000076617","P01872","1","1",426.603286186298,0.0407427501370904,0.116650387470082,0.919697583622412,13.9042749449343,-0.575834483694427,0.00335611468135156,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",2.51051816193245
"Srebf2","ENSMUSG00000022463","Q3U1N2","1","1",4217.82297566264,0.0149057637519771,0.570896108461382,0.999163298615518,9.66765759591001,4.22866409296227,0.00431753683873239,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.36512747508971
"Pdzrn3","ENSMUSG00000035357","Q69ZS0","1","1",501.236740884054,0.0471882185333597,0.0164641400399215,0.459111930916365,14.7551744826027,0.979463931089947,0.0106855321542173,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.30928526559867
"Shf","ENSMUSG00000033256","Q8CG80","1","1",502.778612591272,8.90008298399734e-05,0.990689176147218,0.99955764995295,14.9908585803942,0.610544627593171,0.00496277505530098,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.30446756204651
"Kng1","ENSMUSG00000022875","O08677","1","1",0,NA,NA,NA,17.0917353547583,-0.64979308396973,0.00577725967969015,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",2.23827811109423
"Ybx3","ENSMUSG00000030189","Q9JKB3","1","1",567.614410760689,-0.0131434458165894,0.527869316789047,0.999163298615518,12.87433364644,0.5318340208182,0.00586435222218763,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.23214348007339
"Arf3","ENSMUSG00000051853","P61205","1","1",28246.6844295432,-0.0369951863666214,0.332622242074993,0.999163298615518,17.7420483066579,0.704820500177053,0.00639611524088353,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.19444724692795
"Zdhhc21","ENSMUSG00000028403","Q9D270","1","1",972.895351187422,0.0443678492154786,0.165399496241655,0.989773780097185,14.3011221271142,-0.743360602371201,0.00713046194802662,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",2.15134638858709
"Szrd1","ENSMUSG00000040842","Q6NXN1","1","1",805.102834711283,-0.195190644682615,0.00964772252886362,0.371187063377942,11.0384908054615,0.666695095627349,0.0196546123743067,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.13694268509139
"Riox2","ENSMUSG00000022724","Q8CD15","1","1",186.965839352409,0.0128947301889251,0.603344100686106,0.999163298615518,13.2952008738556,1.00488783312835,0.00730273657817491,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.13687789169578
"Coq4","ENSMUSG00000026798","Q8BGB8","1","1",274.874039623594,0.00448331266870388,0.862492185867446,0.99955764995295,15.4866800153266,-0.621508932431098,0.00768006277737504,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",2.11482738268725
"Dhrs11","ENSMUSG00000034449","Q3U0B3","1","1",46.3670882848031,0.00871813892997886,0.541797946768958,0.999163298615518,14.9682799203873,0.596750679224151,0.00857567444101125,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.06709524139043
"Med14","ENSMUSG00000064127","A2ABV5","1","1",1439.25496366112,0.0857924936968066,0.0618182724622611,0.771640032161976,11.5073087939489,0.531589134310853,0.0122926265853039,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",2.0229405603376
"Gng8","ENSMUSG00000063594","P63078","1","1",17.0311214259049,-0.00189111556828862,0.831234619529837,0.999163298615518,11.5775374401495,-2.32548231213091,0.00968375368845203,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",2.01431979250367
