"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedFDR","JointPvalue","JointFDR"
"GO CC:GO:0098800","GO CC","GO:0098800","inner mitochondrial membrane protein complex",146,-3.07569396029791,1e-10,2.52666666666667e-09,"72900/66525/66916/12857/407785/230075/70257/110323/66052/70316/12864/18673/53600/11951/14356/67264/12868/67105/12861/68514/100042179/57423/17993/66594/67530/17706/66152/66541/66218/17991/67067/27425/104130/224904/71679/68342/12859/22272/67130/12867/107197/69029/67126/54405/68375/66576/78330/66495/11957/68198/66414/66091/433771/20463/67184/17721/66075/66416/67942/17717/17709/66477/17720/407790/17719/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/69773",113,-2.49140005639998,1e-10,1.98333333333333e-08,"28080/66108/68117/66815/67273/66414/68198/66477/76614/66098/11949/67126/66349/66043/67680/12861/68202/66576/12859/72900/68316/68349/216001/67130/71679/84682/22273/11946/12865/215999/225887/68342/67264/230935/67067/66928/224904/66075/30059/66916/18673/17995/227197/30056/69029/68375/66218/12864/78330/66945/11958/11950/226646/75406/78506","Both negative",TRUE,1e-10,1.98333333333333e-08
"GO CC:GO:0098798","GO CC","GO:0098798","mitochondrial protein-containing complex",291,-2.82086593073583,1e-10,2.52666666666667e-09,"75266/66077/626359/595136/18120/67713/20917/72900/66525/68537/66916/12857/407785/230075/68512/66169/70257/110323/66052/66383/70316/12864/67270/68611/66121/66163/28028/74600/94061/68735/18673/68565/53600/56282/11951/72039/14356/67264/12868/231086/67105/12861/68514/100042179/69527/57423/67414/17993/234384/66407/79044/50529/68463/66594/67530/17706/170718/94066/30055/66152/67707/97212/30058/66541/110826/66218/17991/68836/67067/27425/104130/224904/67681/12039/50776/71679/68342/12859/22272/67130/66047/15108/12867/107197/68499/69029/67126/223696/54405/78038/68375/66576/66230/78330/66495/78523/11957/68198/66414/66091/66119/433771/66292/20463/67184/17721/66075/66416/67942/17717/382793/17709/66477/107732/64660/17720/407790/99045/17719/66377/17705/17722/17708/17716/17710/17718/75406/13171/68202/110842/17711/69773/14548/66845",243,-2.14555807720836,1e-10,1.98333333333333e-08,"28080/78038/66108/68117/66815/66493/67273/66414/68263/110842/19935/68198/69527/72039/66477/15108/15929/76614/338359/66098/11949/67126/66349/11740/65111/66043/67680/12861/68202/66576/641376/97212/64656/12859/218506/30055/72900/52443/68316/68349/216001/67130/67834/18041/64659/71679/67212/84682/68653/22273/56280/67036/11946/232536/68463/12865/215999/107734/225887/68342/68512/94067/67264/69956/230935/67067/66928/14297/67681/99045/224904/66075/30059/66916/57312/18673/56451/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/69029/68375/66218/66841/12864/78330/27397/66945/11958/11950/13382/226646/22333/75406/78506","Both negative",TRUE,1e-10,1.98333333333333e-08
"GO CC:GO:0022626","GO CC","GO:0022626","cytosolic ribosome",132,-4.03510881879089,1e-10,2.52666666666667e-09,"100503670/67248/100502825/100042823/67941/267019/213753/19896/27176/27370/110954/20044/269261/22186/105244208/19951/14109/20103/19921/100043346/67186/20102/11837/100043718/20115/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/66184/67097/20088/76808/19942/19943/619605/67891/20005/19933/27207/66489/19981/19899/27050/26961/666586/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/13627/19946",101,2.32284308752278,1.40297171412435e-09,1.66953633980798e-07,"54127/67097/19899/75617/26451/20055/19942/20090/20085/268449/68052/68193/20042/76846/19989/19934/114641/20084/75452/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/16785/27050/66475/27367/20115/67891/19988/57751/27103/16898/68436/20116/27370/76808/67941/67427/67115/65019/20102/19982/20826/20005/57808/14109/77987/19951","Opposite",TRUE,1.40297171412435e-09,1.66953633980798e-07
"GO CC:GO:0022625","GO CC","GO:0022625","cytosolic large ribosomal subunit",69,-3.80658991398164,1e-10,2.52666666666667e-09,"100503670/67248/100502825/100042823/19896/27176/110954/269261/22186/19951/19921/100043346/67186/11837/100043718/19941/270106/26451/67945/54217/19982/56040/76808/19942/19943/619605/67891/20005/19933/66489/19981/19899/26961/666586/67025/319195/27367/68193/19988/68436/20042/22121/67115/114641/19989/57808/67671/65019/268449/67281/19946",48,2.46595243957053,3.84975044614234e-09,3.81766919242449e-07,"19899/26451/19942/268449/68193/20042/19989/19934/114641/19981/19946/19943/67671/27176/66480/100503670/19896/67186/22121/27367/67891/19988/68436/76808/67115/65019/19982/20826/20005/57808/19951","Opposite",TRUE,3.84975044614234e-09,3.81766919242449e-07
"GO CC:GO:1990204","GO CC","GO:1990204","oxidoreductase complex",120,-2.64489719449228,1e-10,2.52666666666667e-09,"626359/595136/18451/18453/17969/72900/66916/66355/407785/230075/66052/70316/66427/109754/67264/68133/66112/17993/66594/67530/170718/66152/71893/234309/110826/66218/17991/104130/12039/68342/22272/67130/107197/14979/54405/68375/66576/78330/66495/68198/66414/104174/66091/67184/17721/66416/17717/17720/17719/66377/17722/17708/17716/17718/75406/13171/68202/110842/17711",88,-2.32529983872146,2.23628654948038e-08,1.90084356705832e-06,"66108/67273/66414/14555/68263/110842/18451/333433/68198/15929/234309/66349/67680/20133/12359/68202/66576/72900/68349/67130/67834/14979/22273/16832/225887/68342/66355/67264/18293/66928/66916/104174/17995/227197/68375/66218/66841/78330/66945/13382/226646/75406","Both negative",TRUE,2.23628654948038e-08,1.90084356705832e-06
"GO BP:GO:0009060","GO BP","GO:0009060","aerobic respiration",188,-2.20922368537104,1.80958355881135e-09,4.99130352047791e-07,"66046/11428/14004/12534/15926/66072/56451/268697/28080/214917/11958/215951/56327/12359/71832/108037/102631912/105675/17986/14297/66148/57320/595136/27369/20917/66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/67472/13063/67264/12868/26914/12861/14533/57423/17993/66594/67530/17706/170718/67267/11848/66152/66218/17991/11651/104130/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/66495/269951/11957/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/68077/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/76824",140,-2.2962316851658,8.1920566886942e-10,3.63153873009814e-06,"28080/215951/66108/67273/66414/68263/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/67130/67834/71679/84682/22273/11429/11946/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/69702/66916/104112/56451/68550/17995/102060/227197/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","Both negative",TRUE,1.80958355881135e-09,3.63153873009814e-06
"GO BP:GO:0002181","GO BP","GO:0002181","cytoplasmic translation",143,-3.78974168378077,1e-10,4.22933333333333e-08,"100503670/98221/67248/100042823/267019/666794/13629/69674/19896/27176/27370/20044/269261/22186/12785/105244208/19951/14109/20103/19921/67186/20102/11837/100043718/20115/68028/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/67097/20088/76808/19942/19943/67891/20005/19933/27207/19981/19899/22608/27050/26961/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/19946",127,2.25126063729668,2.31894720708357e-09,5.13994648450072e-06,"54127/67097/19899/75617/26451/20055/26908/19942/218693/20090/20085/98221/268449/68052/68193/20042/76846/19989/19934/114641/20084/19981/19946/54632/19943/20044/56403/67671/27176/66480/100503670/19896/67579/27207/67186/22121/20103/66405/16785/11991/27050/66475/27367/20115/67891/19988/27103/16898/68436/20116/69674/27370/76808/217331/67427/67115/65019/666794/20102/231207","Opposite",TRUE,2.31894720708357e-09,5.13994648450072e-06
"GO BP:GO:0042274","GO BP","GO:0042274","ribosomal small subunit biogenesis",103,-2.41518297721779,4.29501738149445e-09,9.08253008940026e-07,"223499/66523/73736/59028/55989/20826/50529/67941/267019/18148/20044/105244208/14109/20103/14791/102462/20115/68966/20055/20116/75617/20088/27207/70078/20085/76846/20042/20054/20068/66475/67205/20091/68052/16785/20104/67671/66481/54127/67134/100043813",51,2.46864907559108,7.627579820824e-09,6.81200529641764e-06,"54127/108707/75617/20055/20085/78651/68052/20042/76846/230082/269470/13871/105372/20044/21771/67671/27207/14113/20103/16785/66475/20115/67134/18148/98956/69499/20935/20116","Opposite",TRUE,7.627579820824e-09,6.81200529641764e-06
"GO BP:GO:0140236","GO BP","GO:0140236","translation at presynapse",47,-3.89825971965889,1e-10,4.22933333333333e-08,"100503670/267019/19896/27176/27370/110954/20044/269261/22186/19951/20103/67186/19941/270106/26451/54217/19982/20055/67097/20088/19942/19943/67891/20005/27207/66489/19981/26961/319195/68193/19988/68436/20042/22121/67115/19989/57808/67671/54127/78294/65019/268449/67281",45,2.485951729305,7.68329043133052e-09,6.81200529641764e-06,"54127/67097/26451/20055/19942/268449/68193/20042/19989/19934/19981/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/67891/19988/68436/27370/67115/65019/19982/20005/57808/19951/57294","Opposite",TRUE,7.68329043133052e-09,6.81200529641764e-06
"GO BP:GO:0045333","GO BP","GO:0045333","cellular respiration",242,-2.07385923087705,6.62580330110661e-09,1.16761378172834e-06,"66046/11428/14004/12534/15926/66072/56451/268697/67636/28080/15975/71701/214917/11958/215951/56327/100126824/12359/71832/108037/102631912/105675/18432/17986/14297/22040/66148/231699/243262/57320/595136/27369/20917/66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/67472/13063/67885/67264/12868/26914/12861/14533/57423/17993/66594/67530/17706/170718/67267/23960/11848/66152/110826/71803/66218/17991/11651/104130/50776/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/70673/66495/269951/20512/11957/68198/66414/66091/20463/67184/17721/18021/66416/17717/17709/16189/17720/68077/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/110842/17711/76824",168,-2.10792843616867,1.70149856356273e-08,9.42842891534197e-06,"28080/215951/66108/67273/68002/66414/14555/68263/110842/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/52637/67130/67834/71679/20656/84682/170731/22273/11429/11946/78830/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/18810/69702/66916/104112/56451/68550/17995/102060/227197/50799/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","Both negative",TRUE,1.70149856356273e-08,9.42842891534197e-06
