"Omics","Direction","FeatureID","GeneName","PearsonR","Pvalue","MeanExpression"
"Transcriptomics","Positive","ENSMUSG00000040724","Kcna2",0.997084221457515,1.27402521319601e-05,12.3141958392972
"Transcriptomics","Positive","ENSMUSG00000053641","Dennd4a",0.996209810190478,2.15210841289331e-05,10.5487226082036
"Transcriptomics","Positive","ENSMUSG00000001918","Slc1a5",0.993472632311908,6.37707391631888e-05,8.02814880940036
"Transcriptomics","Positive","ENSMUSG00000033793","Atp6v1h",0.99076990541398,0.000127398791779605,11.8549314320327
"Transcriptomics","Positive","ENSMUSG00000022558","Mroh1",0.989771788890823,0.000156389434927168,10.3059840076198
"Transcriptomics","Negative","ENSMUSG00000067279","Ppp1r3c",-0.995684639092607,2.78933285830855e-05,10.0601916117321
"Transcriptomics","Negative","ENSMUSG00000038074","Fkbp14",-0.994911458555048,3.87740016073313e-05,8.80650033049202
"Transcriptomics","Negative","ENSMUSG00000014547","Wdfy2",-0.992813579222137,7.72813953248554e-05,9.53840685723134
"Transcriptomics","Negative","ENSMUSG00000106918","Mrpl33",-0.992799812608852,7.75774091295467e-05,9.1525355613552
"Transcriptomics","Negative","ENSMUSG00000038388","Pals2",-0.992624811646226,8.13895240833722e-05,9.96652084170078
"Proteomics","Positive","Q8BHE3","Atcay",0.960289870714276,0.000151921359473942,18.8482274962975
"Proteomics","Positive","Q8BGF9","Slc25a44",0.950416914503767,0.00029352748195191,16.7621416261112
"Proteomics","Positive","P49962","Srp9",0.935819240276396,0.000629522832099977,19.144365895864
"Proteomics","Positive","Q8C7K6","Pcyox1l",0.928799991451748,0.000854860750419614,19.2483058829415
"Proteomics","Positive","Q9CQY1","Atg12",0.913243192129187,0.00152811148813036,15.4539895792299
"Proteomics","Negative","Q8BQ47","Cnpy4",-0.936278846075908,0.000616312455489401,11.8690831792578
"Proteomics","Negative","Q9DAM5","Slc25a19",-0.935898783658714,0.000627223381337119,17.6774889483001
"Proteomics","Negative","Q80TE4","Sipa1l2",-0.920657377976816,0.00117557695772171,14.1630410958988
"Proteomics","Negative","Q8C4U2","Tmem145",-0.899912993103504,0.00232214413487459,12.6205120414032
"Proteomics","Negative","Q9CTY5","Micu3",-0.891778615840578,0.00291706337567588,19.8533867398118
