"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:0098800","inner mitochondrial membrane protein complex",113,-0.497827103068313,-2.45014438590919,1e-10,1.98333333333333e-08,1.6e-08,1899,"tags=49%, list=26%, signal=36%","28080/66108/68117/66815/67273/66414/68198/66477/76614/66098/11949/67126/66349/66043/67680/12861/68202/66576/12859/72900/68316/68349/216001/67130/71679/84682/22273/11946/12865/215999/225887/68342/67264/230935/67067/66928/224904/66075/30059/66916/18673/17995/227197/30056/69029/68375/66218/12864/78330/66945/11958/11950/226646/75406/78506","GO CC","Proteomics","Negative","GO CC:GO:0098800"
"GO:0098798","mitochondrial protein-containing complex",243,-0.384808700521982,-2.16491389640313,1e-10,1.98333333333333e-08,1.6e-08,1899,"tags=42%, list=26%, signal=32%","28080/78038/66108/68117/66815/66493/67273/66414/68263/110842/19935/68198/69527/72039/66477/15108/15929/76614/338359/66098/11949/67126/66349/11740/65111/66043/67680/12861/68202/66576/641376/97212/64656/12859/218506/30055/72900/52443/68316/68349/216001/67130/67834/18041/64659/71679/67212/84682/68653/22273/56280/67036/11946/232536/68463/12865/215999/107734/225887/68342/68512/94067/67264/69956/230935/67067/66928/14297/67681/99045/224904/66075/30059/66916/57312/18673/56451/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/69029/68375/66218/66841/12864/78330/27397/66945/11958/11950/13382/226646/22333/75406/78506","GO CC","Proteomics","Negative","GO CC:GO:0098798"
"GO:0019866","organelle inner membrane",435,-0.321596114123798,-1.90475235462839,1e-10,1.98333333333333e-08,1.6e-08,1866,"tags=37%, list=26%, signal=29%","66108/57279/67092/68117/246221/66815/66493/380664/67273/55951/66414/68971/15204/14148/19935/13358/68198/69527/665563/72039/66477/15108/17448/19125/70556/22117/66487/76614/66098/11949/67126/52585/208194/66706/66349/11740/65111/244745/66043/76137/12896/67680/12861/68202/12390/66576/97212/64656/12799/13405/12859/77053/15356/59010/15159/230917/218506/30055/72900/52443/68316/12716/68349/216001/67130/74143/381038/64659/71679/20656/19044/67212/84682/56749/16510/71911/68653/18674/22273/214489/56280/67036/16832/233870/11370/11946/78830/232536/68463/12865/215999/107734/14719/68055/66725/225887/68342/68636/94067/217593/67264/22335/56454/214952/69956/69802/230935/67067/16438/11699/66928/74610/51800/433904/14270/56428/67681/109731/69089/99045/224904/66075/30059/68099/66916/57312/18673/56451/22334/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/56046/50799/66461/69029/11637/68375/66218/66841/12864/227683/78330/27397/66945/11958/11950/11306/72113/52064/226646/22333/75406/78506/67283","GO CC","Proteomics","Negative","GO CC:GO:0019866"
"GO:0005743","mitochondrial inner membrane",415,-0.321827412219067,-1.89695495403847,2.54468979050843e-10,3.78522606338129e-08,3.05362774861012e-08,1866,"tags=37%, list=26%, signal=29%","66108/57279/67092/68117/246221/66815/66493/67273/55951/66414/68971/15204/14148/19935/13358/68198/69527/665563/72039/66477/15108/17448/19125/70556/22117/66487/76614/66098/11949/67126/52585/208194/66706/66349/11740/65111/66043/76137/12896/67680/12861/68202/66576/97212/64656/12799/13405/12859/15356/59010/15159/218506/30055/72900/52443/68316/12716/68349/216001/67130/74143/381038/64659/71679/20656/19044/67212/84682/56749/71911/68653/18674/22273/214489/56280/67036/16832/233870/11370/11946/78830/232536/68463/12865/215999/107734/14719/68055/66725/225887/68342/68636/94067/217593/67264/22335/56454/214952/69956/69802/230935/67067/11699/66928/74610/51800/433904/14270/56428/67681/109731/69089/99045/224904/66075/30059/68099/66916/57312/18673/56451/22334/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/56046/50799/66461/69029/11637/68375/66218/66841/12864/227683/78330/27397/66945/11958/11950/11306/72113/52064/226646/22333/75406/78506/67283","GO CC","Proteomics","Negative","GO CC:GO:0005743"
"GO:0022626","cytosolic ribosome",101,0.519808395113714,2.34820422410421,1.15493563813806e-09,1.37437340938429e-07,1.10873821261254e-07,1947,"tags=57%, list=27%, signal=43%","54127/67097/19899/75617/26451/20055/19942/20090/20085/268449/68052/68193/20042/76846/19989/19934/114641/20084/75452/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/16785/27050/66475/27367/20115/67891/19988/57751/27103/16898/68436/20116/27370/76808/67941/67427/67115/65019/20102/19982/20826/20005/57808/14109/77987/19951","GO CC","Proteomics","Positive","GO CC:GO:0022626"
"GO:0022625","cytosolic large ribosomal subunit",48,0.634331735200451,2.44206249182279,4.20043142851826e-09,4.16542783328061e-07,3.36034514281461e-07,1947,"tags=65%, list=27%, signal=48%","19899/26451/19942/268449/68193/20042/19989/19934/114641/19981/19946/19943/67671/27176/66480/100503670/19896/67186/22121/27367/67891/19988/68436/76808/67115/65019/19982/20826/20005/57808/19951","GO CC","Proteomics","Positive","GO CC:GO:0022625"
"GO:1990204","oxidoreductase complex",88,-0.486457168616613,-2.31904410154928,3.43131214111412e-08,2.91661531994701e-06,2.35289975390683e-06,1866,"tags=48%, list=26%, signal=36%","66108/67273/66414/14555/68263/110842/18451/333433/68198/15929/234309/66349/67680/20133/12359/68202/66576/72900/68349/67130/67834/14979/22273/16832/225887/68342/66355/67264/18293/66928/66916/104174/17995/227197/68375/66218/66841/78330/66945/13382/226646/75406","GO CC","Proteomics","Negative","GO CC:GO:1990204"
"GO:0070469","respirasome",69,-0.515159955389754,-2.33629715793125,5.59975874808115e-08,4.16482056888536e-06,3.35985524884869e-06,1434,"tags=39%, list=20%, signal=32%","66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/214489/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","GO CC","Proteomics","Negative","GO CC:GO:0070469"
"GO:0098803","respiratory chain complex",65,-0.524861441939336,-2.33944388305049,1.06112305637012e-07,6.200259370947e-06,5.00188991269674e-06,1434,"tags=40%, list=20%, signal=32%","66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","GO CC","Proteomics","Negative","GO CC:GO:0098803"
"GO:0005746","mitochondrial respirasome",65,-0.524783074817221,-2.3390945804159,1.06112305637012e-07,6.200259370947e-06,5.00188991269674e-06,1434,"tags=40%, list=20%, signal=32%","66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","GO CC","Proteomics","Negative","GO CC:GO:0005746"
