"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:0098800","inner mitochondrial membrane protein complex",113,-0.497863371521143,-2.49140005639998,1e-10,1.98333333333333e-08,1.58245614035088e-08,1899,"tags=49%, list=26%, signal=36%","28080/66108/68117/66815/67273/66414/68198/66477/76614/66098/11949/67126/66349/66043/67680/12861/68202/66576/12859/72900/68316/68349/216001/67130/71679/84682/22273/11946/12865/215999/225887/68342/67264/230935/67067/66928/224904/66075/30059/66916/18673/17995/227197/30056/69029/68375/66218/12864/78330/66945/11958/11950/226646/75406/78506","GO CC","Proteomics","Negative","GO CC:GO:0098800"
"GO:0098798","mitochondrial protein-containing complex",243,-0.384845369296899,-2.14555807720836,1e-10,1.98333333333333e-08,1.58245614035088e-08,1899,"tags=42%, list=26%, signal=32%","28080/78038/66108/68117/66815/66493/67273/66414/68263/110842/19935/68198/69527/72039/66477/15108/15929/76614/338359/66098/11949/67126/66349/11740/65111/66043/67680/12861/68202/66576/641376/97212/64656/12859/218506/30055/72900/52443/68316/68349/216001/67130/67834/18041/64659/71679/67212/84682/68653/22273/56280/67036/11946/232536/68463/12865/215999/107734/225887/68342/68512/94067/67264/69956/230935/67067/66928/14297/67681/99045/224904/66075/30059/66916/57312/18673/56451/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/69029/68375/66218/66841/12864/78330/27397/66945/11958/11950/13382/226646/22333/75406/78506","GO CC","Proteomics","Negative","GO CC:GO:0098798"
"GO:0019866","organelle inner membrane",435,-0.321632873400098,-1.90296693220719,1e-10,1.98333333333333e-08,1.58245614035088e-08,1866,"tags=37%, list=26%, signal=29%","66108/57279/67092/68117/246221/66815/66493/380664/67273/55951/66414/68971/15204/14148/19935/13358/68198/69527/665563/72039/66477/15108/17448/19125/70556/22117/66487/76614/66098/11949/67126/52585/208194/66706/66349/11740/65111/244745/66043/76137/12896/67680/12861/68202/12390/66576/97212/64656/12799/13405/12859/77053/15356/59010/15159/230917/218506/30055/72900/52443/68316/12716/68349/216001/67130/74143/381038/64659/71679/20656/19044/67212/84682/56749/16510/71911/68653/18674/22273/214489/56280/67036/16832/233870/11370/11946/78830/232536/68463/12865/215999/107734/14719/68055/66725/225887/68342/68636/94067/217593/67264/22335/56454/214952/69956/69802/230935/67067/16438/11699/66928/74610/51800/433904/14270/56428/67681/109731/69089/99045/224904/66075/30059/68099/66916/57312/18673/56451/22334/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/56046/50799/66461/69029/11637/68375/66218/66841/12864/227683/78330/27397/66945/11958/11950/11306/72113/52064/226646/22333/75406/78506/67283","GO CC","Proteomics","Negative","GO CC:GO:0019866"
"GO:0005743","mitochondrial inner membrane",415,-0.321864106630285,-1.90036953889999,1.34745117821826e-10,2.00433362759966e-08,1.59921179309588e-08,1866,"tags=37%, list=26%, signal=29%","66108/57279/67092/68117/246221/66815/66493/67273/55951/66414/68971/15204/14148/19935/13358/68198/69527/665563/72039/66477/15108/17448/19125/70556/22117/66487/76614/66098/11949/67126/52585/208194/66706/66349/11740/65111/66043/76137/12896/67680/12861/68202/66576/97212/64656/12799/13405/12859/15356/59010/15159/218506/30055/72900/52443/68316/12716/68349/216001/67130/74143/381038/64659/71679/20656/19044/67212/84682/56749/71911/68653/18674/22273/214489/56280/67036/16832/233870/11370/11946/78830/232536/68463/12865/215999/107734/14719/68055/66725/225887/68342/68636/94067/217593/67264/22335/56454/214952/69956/69802/230935/67067/11699/66928/74610/51800/433904/14270/56428/67681/109731/69089/99045/224904/66075/30059/68099/66916/57312/18673/56451/22334/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/56046/50799/66461/69029/11637/68375/66218/66841/12864/227683/78330/27397/66945/11958/11950/11306/72113/52064/226646/22333/75406/78506/67283","GO CC","Proteomics","Negative","GO CC:GO:0005743"
"GO:0022626","cytosolic ribosome",101,0.519705407552634,2.32284308752278,1.40297171412435e-09,1.66953633980798e-07,1.3320847222528e-07,1948,"tags=57%, list=27%, signal=43%","54127/67097/19899/75617/26451/20055/19942/20090/20085/268449/68052/68193/20042/76846/19989/19934/114641/20084/75452/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/16785/27050/66475/27367/20115/67891/19988/57751/27103/16898/68436/20116/27370/76808/67941/67427/67115/65019/20102/19982/20826/20005/57808/14109/77987/19951","GO CC","Proteomics","Positive","GO CC:GO:0022626"
"GO:0022625","cytosolic large ribosomal subunit",48,0.6342297571746,2.46595243957053,3.84975044614234e-09,3.81766919242449e-07,3.04603061615824e-07,1948,"tags=65%, list=27%, signal=48%","19899/26451/19942/268449/68193/20042/19989/19934/114641/19981/19946/19943/67671/27176/66480/100503670/19896/67186/22121/27367/67891/19988/68436/76808/67115/65019/19982/20826/20005/57808/19951","GO CC","Proteomics","Positive","GO CC:GO:0022625"
"GO:1990204","oxidoreductase complex",88,-0.486492793176509,-2.32529983872146,2.23628654948038e-08,1.90084356705832e-06,1.51663944934684e-06,1866,"tags=48%, list=26%, signal=36%","66108/67273/66414/14555/68263/110842/18451/333433/68198/15929/234309/66349/67680/20133/12359/68202/66576/72900/68349/67130/67834/14979/22273/16832/225887/68342/66355/67264/18293/66928/66916/104174/17995/227197/68375/66218/66841/78330/66945/13382/226646/75406","GO CC","Proteomics","Negative","GO CC:GO:1990204"
"GO:0043209","myelin sheath",186,-0.369208251376729,-1.96988101336886,3.96636420379633e-08,2.94998337657352e-06,2.35372402093703e-06,1899,"tags=45%, list=26%, signal=34%","28080/17475/18952/18417/15129/18039/67801/67273/235072/70747/380684/77767/14697/83964/17441/21367/17196/18823/17448/18762/18040/64383/76614/18795/13063/12741/11949/18000/118454/17433/11740/19684/23980/12861/12799/12859/17136/72900/15526/12716/53321/68349/338367/67834/13807/11931/71679/20656/17988/11898/18674/22273/16832/233870/11429/11946/78830/118446/14719/11757/71960/11465/227753/18648/20916/14086/18810/11657/18673/22334/109905/11739/12509/227197/18746/16897/11674/12540/66945/11950/67300/232975/13382/22333","GO CC","Proteomics","Negative","GO CC:GO:0043209"
"GO:0009060","aerobic respiration",140,-0.443582711308252,-2.2962316851658,8.1920566886942e-10,3.63153873009814e-06,3.35960556412133e-06,1611,"tags=44%, list=22%, signal=35%","28080/215951/66108/67273/66414/68263/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/67130/67834/71679/84682/22273/11429/11946/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/69702/66916/104112/56451/68550/17995/102060/227197/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","GO BP","Proteomics","Negative","GO BP:GO:0009060"
"GO:0002181","cytoplasmic translation",127,0.48260782488088,2.25126063729668,2.31894720708357e-09,5.13994648450072e-06,4.75506227305135e-06,1603,"tags=47%, list=22%, signal=37%","54127/67097/19899/75617/26451/20055/26908/19942/218693/20090/20085/98221/268449/68052/68193/20042/76846/19989/19934/114641/20084/19981/19946/54632/19943/20044/56403/67671/27176/66480/100503670/19896/67579/27207/67186/22121/20103/66405/16785/11991/27050/66475/27367/20115/67891/19988/27103/16898/68436/20116/69674/27370/76808/217331/67427/67115/65019/666794/20102/231207","GO BP","Proteomics","Positive","GO BP:GO:0002181"
