"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:0022626","cytosolic ribosome",132,-0.736288308957352,-4.03510881879089,1e-10,2.52666666666667e-09,1.88070175438596e-09,1331,"tags=66%, list=7%, signal=62%","100503670/67248/100502825/100042823/67941/267019/213753/19896/27176/27370/110954/20044/269261/22186/105244208/19951/14109/20103/19921/100043346/67186/20102/11837/100043718/20115/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/66184/67097/20088/76808/19942/19943/619605/67891/20005/19933/27207/66489/19981/19899/27050/26961/666586/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/13627/19946","GO CC","Transcriptomics","Negative","GO CC:GO:0022626"
"GO:0044391","ribosomal subunit",203,-0.655660811669862,-3.86530950755758,1e-10,2.52666666666667e-09,1.88070175438596e-09,2721,"tags=61%, list=14%, signal=53%","100038991/19944/66480/67270/68611/66121/66163/28028/74600/94061/68735/68565/56282/66483/69527/20826/234384/66407/79044/50529/68463/94066/67707/68836/100503670/67681/67248/100502825/100042823/67941/66047/267019/68499/66230/19896/27176/78523/27370/110954/18148/20044/66292/269261/22186/105244208/19951/14109/20103/19921/100043346/67186/20102/102462/11837/100043718/14694/107732/20115/64660/19941/270106/26451/99045/67945/20084/54217/19982/20055/20116/56040/75617/66184/67097/20088/76808/19942/19943/619605/67891/20005/19933/27207/66489/19981/19899/27050/26961/666586/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/14548/19946/66845","GO CC","Transcriptomics","Negative","GO CC:GO:0044391"
"GO:0022627","cytosolic small ribosomal subunit",45,-0.869471477642032,-3.83904723189137,1e-10,2.52666666666667e-09,1.88070175438596e-09,1166,"tags=80%, list=6%, signal=75%","67941/267019/27370/20044/22186/105244208/14109/20103/20102/20115/20084/20055/20116/75617/66184/67097/20088/27207/27050/67427/16898/20085/76846/20042/20054/20068/66475/20091/68052/16785/20104/66481/20090/54127/78294/100043813","GO CC","Transcriptomics","Negative","GO CC:GO:0022627"
"GO:0022625","cytosolic large ribosomal subunit",69,-0.787365677130213,-3.80658991398164,1e-10,2.52666666666667e-09,1.88070175438596e-09,1331,"tags=74%, list=7%, signal=69%","100503670/67248/100502825/100042823/19896/27176/110954/269261/22186/19951/19921/100043346/67186/11837/100043718/19941/270106/26451/67945/54217/19982/56040/76808/19942/19943/619605/67891/20005/19933/66489/19981/19899/26961/666586/67025/319195/27367/68193/19988/68436/20042/22121/67115/114641/19989/57808/67671/65019/268449/67281/19946","GO CC","Transcriptomics","Negative","GO CC:GO:0022625"
"GO:0015935","small ribosomal subunit",82,-0.707193314151579,-3.57454176916718,1e-10,2.52666666666667e-09,1.88070175438596e-09,2508,"tags=63%, list=13%, signal=55%","67270/66121/68735/68565/69527/66407/79044/50529/67941/267019/66230/27370/18148/20044/66292/22186/105244208/14109/20103/20102/102462/14694/20115/64660/99045/20084/20055/20116/75617/66184/67097/20088/27207/27050/67427/16898/20085/76846/20042/20054/20068/66475/20091/68052/16785/20104/66481/20090/54127/78294/100043813/14548","GO CC","Transcriptomics","Negative","GO CC:GO:0015935"
"GO:0015934","large ribosomal subunit",126,-0.635421898202857,-3.44553849811875,1e-10,2.52666666666667e-09,1.88070175438596e-09,2721,"tags=60%, list=14%, signal=52%","100038991/19944/66480/67270/68611/66163/28028/74600/94061/68565/56282/66483/20826/234384/68463/94066/67707/68836/100503670/67681/67248/100502825/100042823/66047/68499/19896/27176/78523/110954/18148/269261/22186/19951/19921/100043346/67186/11837/100043718/107732/19941/270106/26451/67945/54217/19982/56040/76808/19942/19943/619605/67891/20005/19933/66489/19981/19899/26961/666586/67025/319195/27367/68193/19988/68436/20042/22121/67115/114641/19989/57808/67671/65019/268449/67281/19946/66845","GO CC","Transcriptomics","Negative","GO CC:GO:0015934"
"GO:0005840","ribosome",255,-0.570756492533619,-3.42474566993463,1e-10,2.52666666666667e-09,1.88070175438596e-09,2745,"tags=53%, list=14%, signal=46%","50849/100038991/19944/66480/67270/68611/66121/66163/28028/74600/94061/68735/68565/56282/66483/69527/20826/320267/234384/66407/79044/50529/68463/94066/23960/67707/68836/100503670/67681/67248/100502825/100042823/67941/66047/267019/68499/66230/213753/13629/19896/225215/27176/78523/27370/110954/18148/20044/66292/269261/22186/105244208/19951/66416/14109/68135/20103/19921/100043346/67186/20102/102462/11837/100043718/14694/107732/20115/64660/68028/19941/270106/26451/99045/67945/20084/54217/19982/17751/20055/20116/56040/75617/66184/67097/20088/76808/19942/19943/619605/67891/20005/19933/27207/66489/19981/19899/27050/26961/666586/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/218490/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/14548/13627/19946/66845","GO CC","Transcriptomics","Negative","GO CC:GO:0005840"
"GO:0005746","mitochondrial respirasome",88,-0.62470138710932,-3.17535207816694,1e-10,2.52666666666667e-09,1.88070175438596e-09,3505,"tags=60%, list=18%, signal=49%","626359/595136/72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711","GO CC","Transcriptomics","Negative","GO CC:GO:0005746"
"GO:0098803","respiratory chain complex",89,-0.621219484685043,-3.16983154938737,1e-10,2.52666666666667e-09,1.88070175438596e-09,3505,"tags=61%, list=18%, signal=50%","626359/595136/72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/78174/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711","GO CC","Transcriptomics","Negative","GO CC:GO:0098803"
"GO:0098800","inner mitochondrial membrane protein complex",146,-0.554046693469177,-3.07569396029791,1e-10,2.52666666666667e-09,1.88070175438596e-09,3095,"tags=52%, list=16%, signal=44%","72900/66525/66916/12857/407785/230075/70257/110323/66052/70316/12864/18673/53600/11951/14356/67264/12868/67105/12861/68514/100042179/57423/17993/66594/67530/17706/66152/66541/66218/17991/67067/27425/104130/224904/71679/68342/12859/22272/67130/12867/107197/69029/67126/54405/68375/66576/78330/66495/11957/68198/66414/66091/433771/20463/67184/17721/66075/66416/67942/17717/17709/66477/17720/407790/17719/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/69773","GO CC","Transcriptomics","Negative","GO CC:GO:0098800"
