"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedFDR","JointPvalue","JointFDR"
"GO CC:GO:0098800","GO CC","GO:0098800","inner mitochondrial membrane protein complex",146,-3.07569396029791,1e-10,2.52666666666667e-09,"72900/66525/66916/12857/407785/230075/70257/110323/66052/70316/12864/18673/53600/11951/14356/67264/12868/67105/12861/68514/100042179/57423/17993/66594/67530/17706/66152/66541/66218/17991/67067/27425/104130/224904/71679/68342/12859/22272/67130/12867/107197/69029/67126/54405/68375/66576/78330/66495/11957/68198/66414/66091/433771/20463/67184/17721/66075/66416/67942/17717/17709/66477/17720/407790/17719/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/69773",113,-2.49140005639998,1e-10,1.98333333333333e-08,"28080/66108/68117/66815/67273/66414/68198/66477/76614/66098/11949/67126/66349/66043/67680/12861/68202/66576/12859/72900/68316/68349/216001/67130/71679/84682/22273/11946/12865/215999/225887/68342/67264/230935/67067/66928/224904/66075/30059/66916/18673/17995/227197/30056/69029/68375/66218/12864/78330/66945/11958/11950/226646/75406/78506","Both negative",TRUE,1e-10,1.98333333333333e-08
"GO CC:GO:0098798","GO CC","GO:0098798","mitochondrial protein-containing complex",291,-2.82086593073583,1e-10,2.52666666666667e-09,"75266/66077/626359/595136/18120/67713/20917/72900/66525/68537/66916/12857/407785/230075/68512/66169/70257/110323/66052/66383/70316/12864/67270/68611/66121/66163/28028/74600/94061/68735/18673/68565/53600/56282/11951/72039/14356/67264/12868/231086/67105/12861/68514/100042179/69527/57423/67414/17993/234384/66407/79044/50529/68463/66594/67530/17706/170718/94066/30055/66152/67707/97212/30058/66541/110826/66218/17991/68836/67067/27425/104130/224904/67681/12039/50776/71679/68342/12859/22272/67130/66047/15108/12867/107197/68499/69029/67126/223696/54405/78038/68375/66576/66230/78330/66495/78523/11957/68198/66414/66091/66119/433771/66292/20463/67184/17721/66075/66416/67942/17717/382793/17709/66477/107732/64660/17720/407790/99045/17719/66377/17705/17722/17708/17716/17710/17718/75406/13171/68202/110842/17711/69773/14548/66845",243,-2.14555807720836,1e-10,1.98333333333333e-08,"28080/78038/66108/68117/66815/66493/67273/66414/68263/110842/19935/68198/69527/72039/66477/15108/15929/76614/338359/66098/11949/67126/66349/11740/65111/66043/67680/12861/68202/66576/641376/97212/64656/12859/218506/30055/72900/52443/68316/68349/216001/67130/67834/18041/64659/71679/67212/84682/68653/22273/56280/67036/11946/232536/68463/12865/215999/107734/225887/68342/68512/94067/67264/69956/230935/67067/66928/14297/67681/99045/224904/66075/30059/66916/57312/18673/56451/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/69029/68375/66218/66841/12864/78330/27397/66945/11958/11950/13382/226646/22333/75406/78506","Both negative",TRUE,1e-10,1.98333333333333e-08
"GO CC:GO:1990204","GO CC","GO:1990204","oxidoreductase complex",120,-2.64489719449228,1e-10,2.52666666666667e-09,"626359/595136/18451/18453/17969/72900/66916/66355/407785/230075/66052/70316/66427/109754/67264/68133/66112/17993/66594/67530/170718/66152/71893/234309/110826/66218/17991/104130/12039/68342/22272/67130/107197/14979/54405/68375/66576/78330/66495/68198/66414/104174/66091/67184/17721/66416/17717/17720/17719/66377/17722/17708/17716/17718/75406/13171/68202/110842/17711",88,-2.32529983872146,2.23628654948038e-08,1.90084356705832e-06,"66108/67273/66414/14555/68263/110842/18451/333433/68198/15929/234309/66349/67680/20133/12359/68202/66576/72900/68349/67130/67834/14979/22273/16832/225887/68342/66355/67264/18293/66928/66916/104174/17995/227197/68375/66218/66841/78330/66945/13382/226646/75406","Both negative",TRUE,2.23628654948038e-08,1.90084356705832e-06
"GO BP:GO:0009060","GO BP","GO:0009060","aerobic respiration",188,-2.20922368537104,1.80958355881135e-09,4.99130352047791e-07,"66046/11428/14004/12534/15926/66072/56451/268697/28080/214917/11958/215951/56327/12359/71832/108037/102631912/105675/17986/14297/66148/57320/595136/27369/20917/66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/67472/13063/67264/12868/26914/12861/14533/57423/17993/66594/67530/17706/170718/67267/11848/66152/66218/17991/11651/104130/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/66495/269951/11957/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/68077/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/76824",140,-2.2962316851658,8.1920566886942e-10,3.63153873009814e-06,"28080/215951/66108/67273/66414/68263/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/67130/67834/71679/84682/22273/11429/11946/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/69702/66916/104112/56451/68550/17995/102060/227197/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","Both negative",TRUE,1.80958355881135e-09,3.63153873009814e-06
"GO BP:GO:0045333","GO BP","GO:0045333","cellular respiration",242,-2.07385923087705,6.62580330110661e-09,1.16761378172834e-06,"66046/11428/14004/12534/15926/66072/56451/268697/67636/28080/15975/71701/214917/11958/215951/56327/100126824/12359/71832/108037/102631912/105675/18432/17986/14297/22040/66148/231699/243262/57320/595136/27369/20917/66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/67472/13063/67885/67264/12868/26914/12861/14533/57423/17993/66594/67530/17706/170718/67267/23960/11848/66152/110826/71803/66218/17991/11651/104130/50776/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/70673/66495/269951/20512/11957/68198/66414/66091/20463/67184/17721/18021/66416/17717/17709/16189/17720/68077/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/110842/17711/76824",168,-2.10792843616867,1.70149856356273e-08,9.42842891534197e-06,"28080/215951/66108/67273/68002/66414/14555/68263/110842/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/52637/67130/67834/71679/20656/84682/170731/22273/11429/11946/78830/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/18810/69702/66916/104112/56451/68550/17995/102060/227197/50799/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","Both negative",TRUE,1.70149856356273e-08,9.42842891534197e-06
"GO CC:GO:0070469","GO CC","GO:0070469","respirasome",96,-3.0553365408451,1e-10,2.52666666666667e-09,"72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/78174/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711",69,-2.36500319551948,1.71533883660107e-07,1.13402956419738e-05,"66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/214489/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","Both negative",TRUE,1.71533883660107e-07,1.13402956419738e-05
"GO CC:GO:0005746","GO CC","GO:0005746","mitochondrial respirasome",88,-3.17535207816694,1e-10,2.52666666666667e-09,"626359/595136/72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711",65,-2.38921718036736,2.20470325224086e-07,1.19254403189392e-05,"66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","Both negative",TRUE,2.20470325224086e-07,1.19254403189392e-05
"GO CC:GO:0098803","GO CC","GO:0098803","respiratory chain complex",89,-3.16983154938737,1e-10,2.52666666666667e-09,"626359/595136/72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/78174/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711",65,-2.38957394935793,2.20470325224086e-07,1.19254403189392e-05,"66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","Both negative",TRUE,2.20470325224086e-07,1.19254403189392e-05
"KEGG:mmu05415","KEGG","mmu05415","Diabetic cardiomyopathy",202,-1.94314740966571,6.56356578906999e-07,2.30381159196357e-05,"17969/72900/66916/12857/407785/230075/110323/66052/70316/12864/110854/17390/11951/67264/12868/12861/21808/17993/66594/67530/18033/17706/66152/19353/66218/17991/11651/104130/71679/68342/12859/22272/67130/19354/12867/18753/67126/54405/68375/66576/78330/11606/66495/11957/68198/66414/66091/20463/67184/17721/66416/67942/17717/17709/78174/17720/407790/17719/66377/17705/17722/17708/17716/17710/17718/75406/27273/68202/17711",137,-2.10464146079555,9.28683487760025e-08,2.52674685068881e-05,"28080/19045/66108/11652/67273/55951/66414/11938/19047/68263/68198/74769/18762/18795/11949/67126/18751/11740/66043/12896/67680/12861/68202/66576/12859/72900/14381/68349/67130/71679/84682/22273/11946/12865/236900/225887/68342/19046/20191/67264/22335/18750/19697/56717/12323/66916/22334/17995/11739/26414/227197/68375/66218/12864/78330/66945/11950/226646/22333/75406","Both negative",TRUE,6.56356578906999e-07,2.52674685068881e-05
"GO BP:GO:0006119","GO BP","GO:0006119","oxidative phosphorylation",142,-2.57643597293503,1e-10,4.22933333333333e-08,"66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/13063/67264/12868/26914/12861/57423/17993/66594/67530/17706/67267/11848/66152/66218/17991/104130/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/66495/11957/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/17719/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711",109,-2.20579139410601,2.0138263204424e-07,4.69857477816904e-05,"28080/215951/66108/67273/66414/68198/70556/13063/11949/67126/66043/67680/12861/68202/66576/12859/72900/68349/67130/71679/84682/22273/11946/14467/12865/12122/225887/68342/11666/67264/14297/27369/56428/69702/66916/68550/17995/102060/227197/68375/66218/78330/66945/11958/11950/13382/226646/75406","Both negative",TRUE,2.0138263204424e-07,4.69857477816904e-05
