"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","RNANominal","ProteinNominal","RNAFDR","ProteinFDR","EvidencePattern","JointNominalP","EvidenceRank"
"GO BP:GO:0007041","GO BP","GO:0007041","lysosomal transport",124,1.69057966233813,0.00026830654138977,0.00773698499353046,"100502841/93711/213326/70297/225326/260302/65114/77573/20660/11765/11776/100102/74374/15481/269523/77963/16004/228545/71732/20479/75669/320191/15239/74349/54376/67028/74718/68505/218035/231580/17999/19156/640524/81904/52120/116733/78287/20661/68942/67166/68299/80743/140723/27057/11774/209200/100504663/16867/12300/53331",96,1.70035227874925,0.000791856086747984,0.0834367951705884,"17113/67166/11840/225326/16783/20661/54122/68942/76742/260302/67064/71900/75608/22088/16784/16971/15481/12300/67015/11774/53331/320191/67028/14339/65114/68299/16004/68953/193740/66530/78287/71801/73711/17772/19349/116733/76959/19156/74772/269338/19328/77963/11776/81904/15239/11736/73122/213326/12759","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.000791856086747984,1
"GO BP:GO:0007034","GO BP","GO:0007034","vacuolar transport",161,1.75823678702245,1.68947088177872e-05,0.000893166939500351,"100502841/104831/93711/213326/76273/271564/70297/225326/260302/68192/65114/77573/20660/11765/11776/230895/100102/74374/15481/269523/77963/16004/228545/71732/20479/75669/320191/15239/74349/54376/65113/67028/74718/68505/218035/231580/17999/11972/19156/640524/15944/81904/52120/77975/116733/78287/20661/68942/67166/68299/20844/209018/80743/140723/27057/11774/209200/100504663/16145/16867/12300/53331",125,1.60119287526983,0.00120705255792028,0.119310439502876,"17113/67166/11840/28084/225326/68192/16783/20661/54122/68942/76742/260302/67064/56433/71900/75608/22088/76273/16784/16971/15481/11972/12300/52348/67015/11774/53331/320191/67028/14339/65114/271564/68299/16004/68953/193740/11777/66530/78287/71801/73711/17772/19349/116733/76959/19156/74772/269338/19328/27681","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.00120705255792028,1
"KEGG:mmu04142","KEGG","mmu04142","Lysosome biogenesis",243,1.59687073353642,0.000144546385051699,0.00267030427121823,"67300/11975/211329/217265/108664/104082/11771/11775/271564/97998/260302/215335/65114/71720/66335/56717/235380/77573/11765/11776/11966/18457/68441/16004/26373/228545/71732/11768/76161/54411/71770/18711/11964/94178/17342/64291/56325/13030/64933/20597/75425/72175/11984/218035/52187/67727/11764/11432/79196/18174/74245/11972/19156/11973/235504/227659/102639650/83429/52120/240283/18010/11773/20661/67166/12091/74370/11305/73834/80743/114128/74385/11774/209446/63959/211978/76252/11767/66237/234967/14466/381201/233979/67474/140494",168,1.53505805108397,0.0026574172005253,0.128191512748346,"17113/11432/12091/94245/11881/67166/68576/117197/71718/18174/12751/13340/11769/19063/16783/20661/13040/94178/260302/50917/56433/108011/74245/110173/19025/56464/74325/67489/26889/16784/26373/209446/68526/72368/20597/217265/11886/11782/11972/14420/72175/11774/67605/21871/65114/67774/271564/19141/13039/71665/11883/227659/66237/75620/232946/16004/17939/11777/64933/66049/56692/19349/76161/14533/19156/18145/234967/11975/97998/269338/56716/11973/192654/73834","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.0026574172005253,1
"KEGG:mmu04141","KEGG","mmu04141","Protein processing in endoplasmic reticulum",169,1.48417615445632,0.00309955918758804,0.0236509842357261,"20338/320011/18415/74126/223455/69162/68292/26419/99683/110616/19359/26408/13666/15519/56228/15481/17156/269523/26420/15505/63958/67475/13002/14827/26965/56445/54609/140740/67838/80286/66967/16430/18786/230815/226641/66861/12043/12333/17872/26414/218811/270669/216440/56085/27054/22027",133,1.65938931618997,0.000402290615379662,0.0316803859611484,"56812/140740/66357/26408/22230/66212/216197/230904/13002/26420/19089/22393/56438/67075/19358/217379/77371/80286/81910/226418/56228/74126/14828/56085/105245/217365/15505/66967/15481/23802/67819/66059/19359/110379/26419/54609/20338/67437/20014/14827/56709/20334/223455/69038/12317/71853/193740/66530/20335/66397/15516/18786/66890/12282/12333/15511/320011/13665/22027/18415/67812/15502/12304/16430/63958/21402/57377","Both up",TRUE,TRUE,TRUE,TRUE,"Both nominal P",0.00309955918758804,1
"GO BP:GO:0007029","GO BP","GO:0007029","endoplasmic reticulum organization",95,1.74270311362032,0.000424764013755693,0.0113700544441608,"66725/68585/17918/66183/69162/338366/546134/98732/73991/69605/13666/70675/104001/15194/52250/226407/23943/67878/20168/319740/225362/66270/30960/12292/77626/56298/231580/114606/13476/109168/102371/27643/19305/73024/74166/76757",76,1.65645768330462,0.00519951664323265,0.244128254412922,"67023/224630/73024/330401/28015/66087/22671/52635/23943/67767/56495/71116/13476/18117/69683/14792/30960/68944/30934/54208/68032/56334/230866","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.00519951664323265,1
"GO BP:GO:0008038","GO BP","GO:0008038","neuron recognition",47,1.71770848508721,0.00139514177755694,0.0274868926609355,"68585/11820/67784/20346/268902/319504/244682/13723/14042/53870/229715/16728/12801/12569/22631/72832/22418",33,1.7191170749104,0.00630991830838741,0.262303893791656,"13723/319504/19283/94185/67784/11820/12064/22631/12569/13844","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.00630991830838741,1
"GO BP:GO:0030433","GO BP","GO:0030433","ubiquitin-dependent ERAD pathway",81,1.57505708377384,0.00397678572084508,0.0569497259888062,"71472/74126/230249/223455/68292/59025/12745/13666/56228/17156/269523/233040/63958/54609/140630/233038/75212/66967/230815/66861/224109/22644/216440/56085/22027",55,1.67249431505536,0.00705124211667236,0.272729782043119,"56812/22230/66212/14084/230904/22393/226418/56228/74126/14828/56085/217365/66967/76577/23802/67819/54609/226144/67089/223455/64295/12317/52551","Both up",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.00705124211667236,1
"GO BP:GO:0043954","GO BP","GO:0043954","cellular component maintenance",82,1.57723184049488,0.00826763873558404,0.090743771865995,"72993/17356/11820/13823/20346/75786/26556/65114/69605/12405/53321/192167/12404/319387/110380/14812/19339/69697/116838/14810/240057/94190/238988/77116/241514/16337/20661/14063/210933/18693/228880/66797/16416/16001/12737",59,1.55002851046971,0.0123039703179211,0.339037999135289,"77116/94190/11820/16001/218952/18189/20661/14810/16400/192167/16412/240057/54725/16416/18693/65114/238988/210933/243743/228550/233765/12978/69697/66860/11816/56513/116838/53321/20318/14360","Both up",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.0123039703179211,1
"GO BP:GO:0008333","GO BP","GO:0008333","endosome to lysosome transport",70,1.62646049790253,0.00381659197736332,0.0556061350262524,"100502841/93711/213326/77573/11776/74374/269523/77963/228545/71732/20479/320191/15239/74349/54376/67028/74718/218035/81904/116733/20661/68942/67166/80743/140723/209200/100504663/12300/53331/233979",59,1.53800366086865,0.0134106349595974,0.34503992557133,"67166/20661/54122/68942/76742/67064/75608/22088/12300/53331/320191/67028/14339/68953/66530/71801/73711/17772/19349/116733/76959/269338/19328/77963/11776/81904/15239/73122/213326","Both up",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.0134106349595974,1
"GO BP:GO:0032543","GO BP","GO:0032543","mitochondrial translation",130,-1.43085342123333,0.0137737997139844,0.123950459776654,"64658/52443/67707/384281/94064/107733/66163/68537/60441/67212/52856/108037/74600/67417/67270/67308/68611/50529/28028/68499/66493/68565/18120/69527/107734/83485/66077/212508/66448/94066/66121/67681/78523/64660/56282/66416/68463/234384/79044/99045/94254/68735/66047/66407/14548/107732/66292/66230/68836/67267/66845",115,-1.52099430369334,0.00563141675084391,0.251484273606251,"107734/28030/121022/229487/75398/56284/52443/59054/14548/99045/56282/64660/107733/56280/102060/68463/57312/76563/68836/94067/69956/64658/64659/75619/212508/109093/232536/68537/27397/12261/69527/66121/66493/384281","Both down",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.0137737997139844,1
"GO BP:GO:0006959","GO BP","GO:0006959","humoral immune response",194,-1.3804821228077,0.0138525970967289,0.123950459776654,"94185/103213/20300/14972/66214/17175/15024/20307/240095/12151/12260/17329/12010/96935/16854/317677/22041/18636/20311/17221/23993/57349/67405/216892/18829/53603/232371/12262/12509/545366/12259/15013/12266/18976/19041/16678/14825/12493/20568/20400/15223/57266/58809/18673/15170/67701/67067/83433/12520/21425/15331/71660/18128/67248/19946/20085/14109",53,-1.85406528154918,0.000671806823631766,0.0807620743652458,"12268/110382/18673/14161/12630/12509/15458/14962/12258/53357/12261/15170/14061/12266/67067/14964/22041/12279/94175/12628/13136/16644","Both down",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.0138525970967289,1
"GO BP:GO:0007033","GO BP","GO:0007033","vacuole organization",218,1.51810856367421,0.000765020582337176,0.0173953067180898,"11938/66725/225326/98732/70495/65114/56717/64113/77573/245860/214063/17158/14042/77963/228545/71732/75909/216742/76559/11909/12421/68365/226407/18711/228361/73658/94178/74438/71742/20479/223593/320191/74349/54609/67028/72175/11984/76561/67727/227738/11432/54636/74244/20333/19324/15944/242557/51795/51897/117150/56318/116733/68942/12721/67166/56085/18784/80743/114128/192232/11774/209446/100504663/16145/19056/211978/67846/229722/80877/14466/233979",153,1.3989797401513,0.0150513205042752,0.359100399531198,"11432/19338/67166/67526/57436/11840/215890/67841/225326/230103/19164/12751/214063/76308/19063/68942/217379/94178/235180/67064/71900/75608/26889/209446/64143/68118/13844/56085/100226/66615/72175/11774/320191/67028/14339/69834/65114/69150/54609/245860","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.0150513205042752,1
"GO BP:GO:0035725","GO BP","GO:0035725","sodium ion transmembrane transport",162,1.50111831732962,0.00151461074838147,0.0290292767000968,"20265/18795/15165/110876/239556/53416/20541/59033/246317/229706/329152/11928/232975/331004/100102/54338/14169/20272/14167/240332/20273/338370/76376/75607/11735/381290/93692/94253/14411/14412/12291/11931/230899/75785/102680/17999/279561/72821/330953/545622/110893",94,1.48098233713979,0.0193003155338161,0.388451599522236,"11932/232333/14167/56188/20538/103098/93692/11840/20648/56398/54338/238384/330064/57780/279561/15165/11944/94249/20265/102857/18693/94253/338370/98660/114479/54403/83814","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.0193003155338161,1
"GO BP:GO:0099560","GO BP","GO:0099560","synaptic membrane adhesion",36,1.71151953236048,0.00209586544361775,0.0369338065953083,"80883/19266/76965/241568/12563/235086/13640/320873/192167/211323/225875/171171/238205",33,1.55136804387628,0.021390776489513,0.411888198378154,"19266/13602/18189/16400/192167/171171/50791/13640/54725/238205/12563/19280/233067/26416/235086","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.021390776489513,1
"GO BP:GO:0036503","GO BP","GO:0036503","ERAD pathway",107,1.60714217401503,0.00149862756874935,0.0288099796852905,"20338/71472/320011/74126/230249/223455/68292/59025/12745/110616/13666/269695/72607/56228/17156/269523/233040/63958/54609/140630/233038/75212/66967/230815/66861/224109",74,1.47793509891011,0.0239024624192441,0.431365576066785,"56812/22230/66212/14084/230904/64136/22393/226418/56228/74126/14828/56085/217365/66967/76577/23802/67819/30931/54609/20338/226144/75770/67089/56709/75841/223455/64295/12317/52551/66530/14950","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.0239024624192441,1
"GO BP:GO:0010469","GO BP","GO:0010469","regulation of signaling receptor activity",128,1.33077959242988,0.0259705758085274,0.180259664036431,"11820/19699/74513/11804/246317/16452/26556/17260/238871/50754/231125/100102/11438/23893/192167/72555/269994/19211/19017/216856/54376/244310/15251/12569/75785/19418/232431/19052/18121/81904/72978",82,1.52798147057004,0.0106068285896999,0.315076406713917,"57320/231889/28084/11820/238384/380702/19164/380686/12919/18189/12794/20779/231125/18011/19271/192167/22088/16412/14811/12569/13844/18693/12300","Both up",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.0259705758085274,1
"GO BP:GO:0050771","GO BP","GO:0050771","negative regulation of axonogenesis",71,1.41952336458078,0.014031437177777,0.124990034722054,"210108/320027/68585/14083/20346/239667/52822/20347/20563/19211/12550/14567/21960/22129/20355/74132/20351/20357/240057/22418/21838",45,1.50325186689753,0.0282062995249126,0.4675804426013,"21838/19164/17751/65079/52822/240057/13844/14083/20358/19280/20352/20351/20355","Both up",TRUE,TRUE,FALSE,FALSE,"Both nominal P",0.0282062995249126,1
"GO BP:GO:0097479","GO BP","GO:0097479","synaptic vesicle localization",61,1.78552789100901,0.000553909751807654,0.0139444581963006,"66725/104015/26875/11775/70612/11776/20616/108030/20983/192167/20964/18457/13429/228355/19211/12217/226407/103967/216856/64933/19339",53,1.48725301529803,0.0309241924616338,0.483916007412818,"94245/11840/13016/117197/70612/18189/12794/192167/50791/12387/12558/11774/27204/30931/67774/232946/16574/11777/64933/13429/108030/245537/14533/20965/19339/11776","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.0309241924616338,1
