"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"mmu03010","Ribosome",215,-0.763573647009842,-3.34910606368353,1e-10,3.9e-09,3.04093567251462e-09,1323,"tags=46%, list=7%, signal=43%","79044/664969/99045/68735/100503670/66483/66047/66407/19934/67941/14548/107732/225215/267019/66292/66230/19944/68028/68836/19982/102640707/100502825/19896/66845/19989/14694/65019/78294/20115/20042/27176/67427/110954/67891/75617/20103/27370/19942/100043813/67186/114641/270106/20104/68193/269261/20055/68436/26961/67248/19951/68052/26451/27367/20116/19943/268449/20068/19981/11837/54217/19941/19988/20091/20088/100040298/27050/19946/20090/67115/76846/66489/20102/54127/19921/56040/27207/57808/22186/66475/67097/19899/67281/22121/66481/319195/67671/16785/20084/19933/20044/20085/67025/76808/20054/16898/67945/20005/14109","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu03010"
"mmu05171","Coronavirus disease",252,-0.686507688085233,-3.05882302213246,1e-10,3.9e-09,3.04093567251462e-09,696,"tags=33%, list=4%, signal=32%","225215/267019/19944/68028/16179/19982/22031/102640707/100502825/19896/19989/65019/78294/20115/20042/27176/67427/110954/67891/75617/20103/27370/19942/100043813/67186/114641/270106/20104/68193/269261/20055/68436/26961/67248/19951/68052/26451/27367/20116/19943/268449/20068/19981/11837/54217/19941/19988/20091/20088/100040298/27050/19946/20090/67115/76846/66489/20102/54127/19921/56040/27207/57808/22186/66475/67097/19899/67281/22121/66481/319195/67671/16785/20084/19933/20044/20085/67025/76808/20054/16898/67945/20005/14109","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu05171"
"mmu00190","Oxidative phosphorylation",133,-0.655459447742631,-2.71983803253806,1e-10,3.9e-09,3.04093567251462e-09,2233,"tags=50%, list=12%, signal=44%","17992/13063/12856/225887/28080/78174/11951/407790/66144/12864/54405/67130/66052/75406/11958/66416/78330/595136/57423/230075/68775/110323/76429/407785/67530/68375/27425/104130/66377/12867/68342/67264/66916/71679/67942/68198/66152/66414/12868/66091/17706/12859/66576/17991/20463/12857/66218/22272/11957/66594/67184/12861/17720/17719/68202/17709/67126/17710/17717/17705/17721/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu00190"
"mmu05208","Chemical carcinogenesis - reactive oxygen species",217,-0.549361448835446,-2.41179573551295,1e-10,3.9e-09,3.04093567251462e-09,2233,"tags=37%, list=12%, signal=33%","17992/225887/28080/78174/13849/11951/17969/407790/12864/54405/67130/66052/57344/75406/66416/78330/19247/595136/18024/18033/230075/18806/110323/14866/11431/15461/407785/14859/67530/20655/103140/68375/104130/66377/50868/12867/56615/68342/67264/75292/18760/66916/71679/67942/68198/66152/66414/14862/12868/66091/17706/12859/66576/17991/14867/11651/20463/12857/68312/66218/18753/22272/11957/66594/67184/12861/17720/17719/68202/17709/67126/17710/17717/17705/17721/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu05208"
"mmu05012","Parkinson disease",257,-0.52292746261676,-2.33606756208239,1e-10,3.9e-09,3.04093567251462e-09,2233,"tags=34%, list=12%, signal=30%","17992/13063/13198/19175/225887/28080/78174/11951/407790/72027/12864/54405/67130/66052/214084/75406/12322/66416/109731/78330/26446/595136/18024/19172/19170/230075/67414/110323/407785/56551/67530/20655/26443/68375/16439/50873/104130/66377/50868/12867/22213/68342/67264/66916/71679/67942/14678/22195/16573/69806/68198/66152/66414/12868/66091/17706/12859/66576/17991/20463/12857/78294/66218/22272/277468/11957/75600/66594/16572/67184/12861/17720/17719/68202/17709/67126/17710/17717/17705/17721/73710/22186/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu05012"
"mmu04714","Thermogenesis",227,-0.523559537594977,-2.30799531928809,1e-10,3.9e-09,3.04093567251462e-09,2233,"tags=34%, list=12%, signal=30%","17992/12856/225887/28080/78174/11951/68033/407790/12864/54405/67130/66052/70127/78070/75406/11958/66853/66416/78330/595136/57423/216739/57279/20111/230075/75597/76178/110323/12894/83796/15461/407785/67530/68375/27425/104130/66377/12867/68342/67264/66916/71679/67942/68198/66152/66414/12868/66091/17706/14182/70673/12859/66576/17991/20463/12857/66218/22272/11957/66594/67184/12861/20104/17720/17719/68202/17709/67126/17710/17717/17705/17721/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu04714"
"mmu05415","Diabetic cardiomyopathy",202,-0.523452999991506,-2.28441382861005,1e-10,3.9e-09,3.04093567251462e-09,2233,"tags=34%, list=12%, signal=31%","17992/225887/28080/78174/11951/17969/21803/407790/12864/54405/67130/66052/75406/12322/66416/27273/78330/18797/595136/18033/230075/110854/110323/407785/67530/68375/104130/66377/12867/68342/67264/66916/71679/67942/21808/68198/66152/66414/12868/66091/17706/12859/66576/17991/11651/20463/12857/66218/18753/22272/11957/66594/67184/12861/17720/17719/68202/17709/67126/11606/17710/17717/17705/17721/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu05415"
"mmu05016","Huntington disease",296,-0.485154116595104,-2.20164756709831,1e-10,3.9e-09,3.04093567251462e-09,2385,"tags=33%, list=12%, signal=29%","432611/26445/66491/17992/13063/19175/54152/225887/28080/78174/269881/11951/14778/407790/66420/12864/54405/67130/110084/66052/228980/75406/66416/327954/78330/26446/18797/595136/19172/19170/230075/69920/110323/381917/56087/407785/19712/17749/67530/14799/20655/26443/237806/68375/20022/433759/104130/66377/12867/68342/67264/66916/71679/68922/67942/12370/330355/13385/16573/68198/66152/66414/12868/110083/66091/17706/75563/12859/66576/17991/69833/20463/12857/66218/22272/11957/20511/66594/16572/67184/12861/17720/17719/68202/17709/67126/17710/20512/17717/16513/17705/17721/73710/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu05016"
"mmu05020","Prion disease",261,-0.465370198831896,-2.08641117577357,1e-10,3.9e-09,3.04093567251462e-09,2653,"tags=31%, list=14%, signal=27%","26417/12389/193740/20422/12259/26445/17992/13063/13198/19175/225887/14813/28080/78174/11951/17969/407790/12864/54405/67130/66052/75406/66416/16175/78330/26446/595136/19172/19170/230075/110323/407785/67530/20655/26443/68375/16439/104130/66377/12867/68342/67264/66916/71679/67942/16573/68198/66152/66414/12868/66091/17706/12859/66576/17991/20463/12857/66218/18753/22272/11957/66594/16572/67184/12861/17720/18128/17719/68202/17709/67126/17710/17717/17705/17721/73710/17722/17718/17716/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu05020"
"mmu04932","Non-alcoholic fatty liver disease",154,-0.525479097223243,-2.21959753584662,2.37163745880944e-10,8.32444748042113e-09,6.49079725568899e-09,2243,"tags=34%, list=12%, signal=31%","58805/17992/13063/13198/225887/12606/78174/21803/407790/12864/54405/67130/66052/75406/66416/16175/78330/595136/20181/18033/230075/110323/407785/67530/68375/104130/66377/12867/68342/67264/66916/12370/68198/66152/66414/12868/66091/12859/66576/17991/11651/20463/12857/66218/22272/66594/67184/12861/68202/17709/17710/17711/17708","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu04932"
