"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","RNANominal","ProteinNominal","RNAFDR","ProteinFDR","EvidencePattern","JointNominalP","EvidenceRank"
"GO BP:GO:0002181","GO BP","GO:0002181","cytoplasmic translation",143,-3.41515209374513,1e-10,2.04645161290323e-08,"267019/69674/19944/68028/19982/19896/22608/19989/65019/13629/78294/20115/20042/27176/67427/67891/75617/20103/27370/19942/67186/114641/270106/20104/68193/269261/20055/68436/26961/105244208/67248/19951/68052/26451/27367/20116/19943/268449/20068/19981/11837/54217/19941/19988/20091/20088/27050/19946/20090/67115/76846/20102/54127/19921/56040/27207/57808/22186/66475/67097/19899/22121/66481/319195/67671/16785/20084/19933/20044/20085/67025/76808/20054/16898/67945/20005/14109",128,2.17211643141474,8.47458392984406e-09,3.76949493199464e-05,"76846/75617/19899/54632/19989/218693/67097/20055/26908/98221/67891/67115/54127/19946/68052/20085/67671/65019/27050/114641/27176/20042/20103/100503670/66480/20115/27207/268449/19982/16898/68995/66475/19934/67427/29813/19896/26451/76808/19943/20102/19933/57808/319195/16785/20091/56403/56335","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",8.47458392984406e-09,1
"GO BP:GO:0042274","GO BP","GO:0042274","ribosomal small subunit biogenesis",103,-2.50985880611738,1e-10,2.04645161290323e-08,"18148/66523/68966/67205/20826/70078/67941/267019/20115/20042/75617/20103/100043813/20104/20055/105244208/68052/20116/20068/20091/20088/76846/54127/27207/66475/66481/67671/16785/20044/20085/20054/14109",51,2.40035319179687,2.26827226479342e-08,5.04463751690057e-05,"76846/75617/230082/98956/20055/104662/21771/105372/54127/68052/20085/57837/67671/108707/20042/20103/66249/78651/20115/27207/213773/66475/67134","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",2.26827226479342e-08,1
"GO BP:GO:0140241","GO BP","GO:0140241","translation at synapse",48,-3.27368197298969,1e-10,2.04645161290323e-08,"100503670/19934/267019/19944/19982/19896/19989/65019/13629/78294/20042/27176/110954/67891/20103/27370/19942/67186/270106/68193/269261/20055/68436/26961/19951/26451/19943/268449/19981/54217/19941/19988/20088/67115/66489/54127/27207/57808/22186/67097/67281/22121/319195/67671/20044/20005",45,2.34969654357826,1.09309014673757e-07,9.72412994537743e-05,"19989/67097/20055/67891/67115/54127/67671/65019/27176/20042/20103/100503670/66480/27207/268449/19982/19934/19896/26451/19943/57808/319195","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",1.09309014673757e-07,1
"GO BP:GO:0140242","GO BP","GO:0140242","translation at postsynapse",48,-3.27368197298969,1e-10,2.04645161290323e-08,"100503670/19934/267019/19944/19982/19896/19989/65019/13629/78294/20042/27176/110954/67891/20103/27370/19942/67186/270106/68193/269261/20055/68436/26961/19951/26451/19943/268449/19981/54217/19941/19988/20088/67115/66489/54127/27207/57808/22186/67097/67281/22121/319195/67671/20044/20005",45,2.34969654357826,1.09309014673757e-07,9.72412994537743e-05,"19989/67097/20055/67891/67115/54127/67671/65019/27176/20042/20103/100503670/66480/27207/268449/19982/19934/19896/26451/19943/57808/319195","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",1.09309014673757e-07,1
"GO BP:GO:0140236","GO BP","GO:0140236","translation at presynapse",47,-3.26552561121376,1e-10,2.04645161290323e-08,"100503670/19934/267019/19944/19982/19896/19989/65019/78294/20042/27176/110954/67891/20103/27370/19942/67186/270106/68193/269261/20055/68436/26961/19951/26451/19943/268449/19981/54217/19941/19988/20088/67115/66489/54127/27207/57808/22186/67097/67281/22121/319195/67671/20044/20005",44,2.345464882531,3.86503854546532e-07,0.000286528190837162,"19989/67097/20055/67891/67115/54127/67671/65019/27176/20042/20103/100503670/66480/27207/268449/19982/19934/19896/26451/19943/57808/319195","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",3.86503854546532e-07,1
"KEGG:mmu05171","KEGG","mmu05171","Coronavirus disease",252,-3.05882302213246,1e-10,3.9e-09,"225215/267019/19944/68028/16179/19982/22031/102640707/100502825/19896/19989/65019/78294/20115/20042/27176/67427/110954/67891/75617/20103/27370/19942/100043813/67186/114641/270106/20104/68193/269261/20055/68436/26961/67248/19951/68052/26451/27367/20116/19943/268449/20068/19981/11837/54217/19941/19988/20091/20088/100040298/27050/19946/20090/67115/76846/66489/20102/54127/19921/56040/27207/57808/22186/66475/67097/19899/67281/22121/66481/319195/67671/16785/20084/19933/20044/20085/67025/76808/20054/16898/67945/20005/14109",135,1.88668690144712,5.20248966526058e-06,0.000819392122278541,"76846/75617/19899/19989/12262/67097/20055/26420/18706/54131/67891/67115/54127/11421/19946/68052/20085/67671/65019/27050/114641/12675/27176/20042/20103/26409/100503670/66480/20115/27207/268449/19982/16898/66475/19934/67427/19896/16150/100040298/26451/76808/19943/18033/20102/12260/19933/57808/319195/16785/22031","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",5.20248966526058e-06,1
"KEGG:mmu03010","KEGG","mmu03010","Ribosome",215,-3.34910606368353,1e-10,3.9e-09,"79044/664969/99045/68735/100503670/66483/66047/66407/19934/67941/14548/107732/225215/267019/66292/66230/19944/68028/68836/19982/102640707/100502825/19896/66845/19989/14694/65019/78294/20115/20042/27176/67427/110954/67891/75617/20103/27370/19942/100043813/67186/114641/270106/20104/68193/269261/20055/68436/26961/67248/19951/68052/26451/27367/20116/19943/268449/20068/19981/11837/54217/19941/19988/20091/20088/100040298/27050/19946/20090/67115/76846/66489/20102/54127/19921/56040/27207/57808/22186/66475/67097/19899/67281/22121/66481/319195/67671/16785/20084/19933/20044/20085/67025/76808/20054/16898/67945/20005/14109",160,1.6511238158873,0.000372848827916996,0.0316803859611484,"76846/75617/94062/19899/19989/66973/67097/27398/20055/66223/64655/67891/67115/54127/19946/68052/20085/67671/65019/66230/67308/27050/114641/27176/20042/20103/18120/100503670/66480/20115/27207/268449/19982/16898/66475/19934/67427/94064/19896/100040298/26451/76808/19943/20102/19933/57808/319195/16785/79044/66292/66448/20091","Opposite",TRUE,TRUE,TRUE,TRUE,"Both nominal P",0.000372848827916996,1
"GO BP:GO:0042254","GO BP","GO:0042254","ribosome biogenesis",314,-2.08613590677301,1e-10,2.04645161290323e-08,"224823/57316/83485/66448/237730/67223/68040/216156/66596/73736/75422/117109/52521/18148/28126/66229/66523/68966/67205/234384/20826/70078/320790/68077/100503670/101867/69902/67941/107732/67674/225215/267019/19896/100038991/59050/19989/20115/20042/27176/110954/75617/20103/19942/100043813/14645/20104/68193/20055/105244208/68052/20116/268449/20068/11837/19941/19988/20091/20088/67115/76846/66489/54127/27207/57808/66475/66481/67671/16785/20044/20085/67025/20054/14109",176,1.61472741434745,0.00077070866231181,0.0834367951705884,"67014/224619/76846/140546/75617/230082/19989/98956/20055/67755/104662/18572/21771/67115/105372/54127/60321/68052/20085/57837/67671/234384/27176/103136/108707/54364/20042/20103/66249/224092/78651/100503670/20115/27207/268449/213773/28126/66475/67134/109075/20227/19896/216156/57815/57808/226982/16785/66448/227522/20091/66711/269470/68083/16418/19988/217011/66942/57741/19942","Opposite",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.00077070866231181,1
"GO BP:GO:0007041","GO BP","GO:0007041","lysosomal transport",124,1.69057966233813,0.00026830654138977,0.00773698499353046,"100502841/93711/213326/70297/225326/260302/65114/77573/20660/11765/11776/100102/74374/15481/269523/77963/16004/228545/71732/20479/75669/320191/15239/74349/54376/67028/74718/68505/218035/231580/17999/19156/640524/81904/52120/116733/78287/20661/68942/67166/68299/80743/140723/27057/11774/209200/100504663/16867/12300/53331",96,1.70035227874925,0.000791856086747984,0.0834367951705884,"17113/67166/11840/225326/16783/20661/54122/68942/76742/260302/67064/71900/75608/22088/16784/16971/15481/12300/67015/11774/53331/320191/67028/14339/65114/68299/16004/68953/193740/66530/78287/71801/73711/17772/19349/116733/76959/19156/74772/269338/19328/77963/11776/81904/15239/11736/73122/213326/12759","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.000791856086747984,1
"GO BP:GO:0007034","GO BP","GO:0007034","vacuolar transport",161,1.75823678702245,1.68947088177872e-05,0.000893166939500351,"100502841/104831/93711/213326/76273/271564/70297/225326/260302/68192/65114/77573/20660/11765/11776/230895/100102/74374/15481/269523/77963/16004/228545/71732/20479/75669/320191/15239/74349/54376/65113/67028/74718/68505/218035/231580/17999/11972/19156/640524/15944/81904/52120/77975/116733/78287/20661/68942/67166/68299/20844/209018/80743/140723/27057/11774/209200/100504663/16145/16867/12300/53331",125,1.60119287526983,0.00120705255792028,0.119310439502876,"17113/67166/11840/28084/225326/68192/16783/20661/54122/68942/76742/260302/67064/56433/71900/75608/22088/76273/16784/16971/15481/11972/12300/52348/67015/11774/53331/320191/67028/14339/65114/271564/68299/16004/68953/193740/11777/66530/78287/71801/73711/17772/19349/116733/76959/19156/74772/269338/19328/27681","Both up",TRUE,TRUE,TRUE,FALSE,"Both nominal P",0.00120705255792028,1
