"ID","m/z","Retention time (min)","Ion mode","Metabolites","Metabolites_cn","cid","HMDB","METLIN","Lipidmaps","PubChem","KEGG","ID Annotation","Annotation","ChEBI","Reactome_id","Reactome_Description","CAS","smiles","InChIKey","Super Class","Class","Sub Class","Super Class_cn","Class_cn","Sub Class_cn","level","Score","Isotope Similarity","Fragmentation Score","Fragment Ions","Adducts","Formula","Mass Error (ppm)","CON-1","CON-2","CON-3","CON-4","CON-5","CON-6","Asphyxia-1","Asphyxia-2","Asphyxia-3","Asphyxia-4","Asphyxia-5","Asphyxia-6","QC1","QC2","QC3"
"FT1175NR",191.01967,1.094,"neg","Citric acid","柠檬酸",46867,"HMDB0000094",124,NA,311,"C00158","mmu00020,mmu00250,mmu00630,mmu04742,mmu04922,mmu05230","Citrate cycle (TCA cycle)|Alanine, aspartate and glutamate metabolism|Glyoxylate and dicarboxylate metabolism|Taste transduction|Glucagon signaling pathway|Central carbon metabolism in cancer",30769,NA,NA,"77-92-9","OC(=O)CC(O)(CC(O)=O)C(O)=O","KRKNYBCHXYNGOX-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","有机酸及其衍生物","羧酸及其衍生物","三羧酸及其衍生物","Level 1",75.18,99.68,98.23,"57.0344, 67.0188, 85.0292, 87.0084, 110.9910, 111.0085, 112.0122, 129.0198, 173.0082, 191.0186","M-H","C6H8O7",-0.314,28.7750229714837,28.1944414121161,28.5037130052271,28.6657302528523,28.7049492729718,28.7840647410237,28.1923813517388,28.6204580212284,28.4502030363603,28.3120293723686,28.4296286641269,28.1384744507584,28.4039767524741,28.2877334647655,28.5566979984405
"FT0714NR",151.02612,1.097,"neg","Xanthine","黄嘌呤",46978,"HMDB0000292",82,NA,1188,"C00385","mmu00230,mmu00232","Purine metabolism|Caffeine metabolism",17712,"R-MMU-74259","Purine catabolism","69-89-6","O=C1NC2=C(NC=N2)C(=O)N1","LRFVTYWOQMYALW-UHFFFAOYSA-N","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","有机杂环化合物","咪唑并嘧啶类","嘌呤和嘌呤衍生物","Level 1",75,95.87,99.95,"108.0202, 109.0239, 126.0313, 133.0156, 150.9247, 150.9885, 150.9964, 151.0263, 151.0542, 152.0307","M-H","C5H4N4O2",-0.225,25.7847582659479,25.2519337575672,25.9775626907363,25.3851268226163,25.330510974437,25.4636585990085,25.7872622386815,25.8658743713331,25.588248453659,25.529632683674,25.7464392926911,25.5431817454828,25.6439044332661,25.5862943898291,25.4707947502355
"FT1761PR",184.0733,0.716,"pos","Phosphorylcholine","磷酸胆碱",47656,"HMDB0001565",6326,NA,1014,"C00588","mmu00564,mmu05231","Glycerophospholipid metabolism|Choline metabolism in cancer",18132,"R-MMU-6814848,R-MMU-9840310","Glycerophospholipid catabolism|Glycosphingolipid catabolism","3616-04-4","C[N+](C)(C)CCOP(O)(O)=O","YHHSONZFOIEMCP-UHFFFAOYSA-O","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","有机氮化合物","有机氮化合物","季铵盐","Level 1",74.77,99.47,98.53,"60.0808, 71.0730, 86.0967, 87.0996, 98.9837, 104.1077, 125.0003, 184.0736, 184.1139, 185.0780","M+","C5H15NO4P+",-0.098,26.2385263637914,27.6104114584188,26.6436034643131,27.5513799673626,25.9738482833937,26.6128769377092,26.5537525726971,27.3352488979817,26.3698970697701,27.6527749101237,26.317295089901,27.4340764012135,27.4235066171318,27.4530640904082,27.4683296624017
"FT1241PR",148.06032,0.755,"pos","L-Glutamic acid","L-谷氨酸",46895,"HMDB0000148",19,NA,33032,"C00025","mmu00220,mmu00250,mmu00330,mmu00340,mmu00430,mmu00470,mmu00480,mmu00524,mmu00630,mmu00650,mmu00660,mmu00860,mmu00910,mmu00970,mmu02010,mmu04068,mmu04072,mmu04080,mmu04082,mmu04216,mmu04540,mmu04713,mmu04720,mmu04721,mmu04723,mmu04724,mmu04727,mmu04730,mmu04742,mmu04964,mmu04974,mmu05014,mmu05016,mmu05017,mmu05022,mmu05030,mmu05031,mmu05033,mmu05034,mmu05215,mmu05230","Arginine biosynthesis|Alanine, aspartate and glutamate metabolism|Arginine and proline metabolism|Histidine metabolism|Taurine and hypotaurine metabolism|D-Amino acid metabolism|Glutathione metabolism|Neomycin, kanamycin and gentamicin biosynthesis|Glyoxylate and dicarboxylate metabolism|Butanoate metabolism|C5-Branched dibasic acid metabolism|Porphyrin metabolism|Nitrogen metabolism|Aminoacyl-tRNA biosynthesis|ABC transporters|FoxO signaling pathway|Phospholipase D signaling pathway|Neuroactive ligand-receptor interaction|Neuroactive ligand signaling|Ferroptosis|Gap junction|Circadian entrainment|Long-term potentiation|Synaptic vesicle cycle|Retrograde endocannabinoid signaling|Glutamatergic synapse|GABAergic synapse|Long-term depression|Taste transduction|Proximal tubule bicarbonate reclamation|Protein digestion and absorption|Amyotrophic lateral sclerosis|Huntington disease|Spinocerebellar ataxia|Pathways of neurodegeneration - multiple diseases|Cocaine addiction|Amphetamine addiction|Nicotine addiction|Alcoholism|Prostate cancer|Central carbon metabolism in cancer",16015,NA,NA,"56-86-0","N[C@@H](CCC(O)=O)C(O)=O","WHUUTDBJXJRKMK-VKHMYHEASA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","有机酸及其衍生物","羧酸及其衍生物","氨基酸、肽和类似物","Level 1",74.5,99.17,95.68,"56.0497, 84.0319, 84.0443, 85.0285, 85.0476, 102.0553, 103.0591, 130.0505, 131.0534, 148.0609","M+H","C5H9NO4",-0.81,28.291215138625,29.8840879695004,28.5041996624064,29.7225674377892,29.7902019195187,28.7285739834355,29.8148457814504,29.141397932871,29.7240148946494,28.6287607970358,29.8575592342335,29.6398719720268,29.7317911914368,29.7797684802845,29.7797660882124
"FT0033PR",72.08075,0.796,"pos","Pyrrolidine","四氢吡咯",56135,"HMDB0031641",87832,NA,31268,NA,NA,NA,33135,NA,NA,"123-75-1","C1CCNC1","RWRDLPDLKQPQOW-UHFFFAOYSA-N","Organoheterocyclic compounds","Pyrrolidines","Unclassified","有机杂环化合物","吡咯烷类",NA,"Level 1",74.33,97.62,94.55,"53.0388, 55.0495, 55.0543, 56.0496, 56.0577, 57.0574, 72.0444, 72.0767, 72.0806, 73.0837","M+H","C4H9N",-0.305,25.2939162151753,24.9087893085956,24.8334251905536,24.6592486525034,24.985930008537,25.2612706213052,25.2725548607257,25.0542496010127,25.0368435434282,25.2416160065792,25.6081112079901,25.4698874812771,25.1561966393822,25.1216645423843,25.1639412579199
"FT1453PR",162.11233,0.746,"pos","L-Carnitine","L-肉碱",46851,"HMDB0000062",52,NA,10917,"C00318","mmu04714,mmu04976,mmu05415","Thermogenesis|Bile secretion|Diabetic cardiomyopathy",16347,"R-MMU-200425,R-MMU-389887,R-MMU-549127,R-MMU-70895,R-MMU-71262","Carnitine shuttle|Beta-oxidation of pristanoyl-CoA|SLC-mediated transport of organic cations|Branched-chain amino acid catabolism|Carnitine synthesis","541-15-1","C[N+](C)(C)C[C@H](O)CC(O)=O","PHIQHXFUZVPYII-ZCFIWIBFSA-O","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","有机氮化合物","有机氮化合物","季铵盐","Level 1",74.31,98.61,95.44,"60.0806, 85.0282, 98.0596, 102.0908, 103.0388, 104.0422, 162.0806, 162.1116, 162.1382, 163.1160","M+","C7H16NO3+",-0.882,28.0446860280814,27.6085618178615,28.2703708681647,27.7947173451633,28.0226268263407,28.0033637458681,28.1168989135893,27.7529087705111,27.8224616147675,27.9296645408605,27.9173585892013,27.7414971268334,27.7297576537535,27.9008466487676,27.7632473272616
"FT1435PR",160.13316,0.771,"pos","Aminovaleric acid betaine","氨基戊酸甜菜碱",197329,"HMDB0240732",NA,NA,14274897,NA,NA,NA,145234,NA,NA,NA,"C[N+](C)(C)CCCCC([O-])=O","CDLVFVFTRQPQFU-UHFFFAOYSA-N","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","脂质和类脂质分子","脂肪酰基类","脂肪酸和结合物","Level 1",74.31,98.54,98.03,"55.0543, 59.0489, 60.0806, 83.0489, 101.0597, 102.0631, 113.9640, 160.1330, 160.1656, 161.1366","M+H","C8H17NO2",-0.306,26.3739709620257,26.5520727112645,26.0973266422551,25.604746143698,25.7398003288353,25.7378766048729,26.7885606187988,25.8674216713508,26.343869832485,26.0535982834451,26.4661784003463,26.1102398359899,26.0732290317009,26.1116144376573,26.4278064005568
"FT0497NR",132.03024,0.717,"neg","L-Aspartic acid","L-天门冬氨酸",46920,"HMDB0000191",15,NA,5960,"C00049","mmu00220,mmu00250,mmu00260,mmu00270,mmu00340,mmu00410,mmu00470,mmu00630,mmu00760,mmu00770,mmu00970,mmu02010,mmu04080,mmu04974,mmu05230","Arginine biosynthesis|Alanine, aspartate and glutamate metabolism|Glycine, serine and threonine metabolism|Cysteine and methionine metabolism|Histidine metabolism|beta-Alanine metabolism|D-Amino acid metabolism|Glyoxylate and dicarboxylate metabolism|Nicotinate and nicotinamide metabolism|Pantothenate and CoA biosynthesis|Aminoacyl-tRNA biosynthesis|ABC transporters|Neuroactive ligand-receptor interaction|Protein digestion and absorption|Central carbon metabolism in cancer",17053,NA,NA,"56-84-8","N[C@@H](CC(O)=O)C(O)=O","CKLJMWTZIZZHCS-REOHCLBHSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","有机酸及其衍生物","羧酸及其衍生物","氨基酸、肽和类似物","Level 1",74.22,97,95.76,"59.0139, 70.0301, 71.0143, 72.0096, 88.0405, 88.0458, 89.0440, 114.0193, 115.0034, 132.0310","M-H","C4H7NO4",0.091,28.7398663986538,28.8127958127895,29.2629806216463,28.9998090874862,28.6889053399445,29.0460306614516,28.5383997162073,28.9287944061038,28.7106707402472,29.0901354946918,29.2515062153961,29.0143748892613,28.8555956075993,28.8952621984294,28.9054809572969
"FT1276PR",150.05833,1.093,"pos","L-Methionine","蛋氨酸",47164,"HMDB0000696",26,NA,6137,"C00073","mmu00270,mmu00470,mmu00670,mmu00920,mmu00970,mmu01523,mmu04148,mmu04974,mmu04978,mmu04980,mmu04981,mmu05230","Cysteine and methionine metabolism|D-Amino acid metabolism|One carbon pool by folate|Sulfur metabolism|Aminoacyl-tRNA biosynthesis|Antifolate resistance|Efferocytosis|Protein digestion and absorption|Mineral absorption|Cobalamin transport and metabolism|Folate transport and metabolism|Central carbon metabolism in cancer",16643,NA,NA,"63-68-3","CSCC[C@H](N)C(O)=O","FFEARJCKVFRZRR-BYPYZUCNSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","有机酸及其衍生物","羧酸及其衍生物","氨基酸、肽和类似物","Level 1",74.19,99.04,96.6,"56.0498, 61.0110, 74.0236, 74.0598, 84.0446, 87.0263, 102.0545, 104.0528, 133.0314, 150.0586","M+H","C5H11NO2S",0.073,26.3968998171448,25.9685342522919,25.89247024717,26.2841184669689,26.1530446536059,26.3220592721301,26.3196916167901,26.2405158425279,25.8352300794872,26.2789406578052,26.2865132333374,26.9370946983226,26.0519191123682,26.840391574693,26.3315216839971
"FT2253NR",267.07326,1.257,"neg","Inosine","肌苷",46924,"HMDB0000195",84,NA,6021,"C00294","mmu00230,mmu02010","Purine metabolism|ABC transporters",17596,"R-MMU-2161541,R-MMU-74217,R-MMU-74259,R-MMU-83936,R-MMU-9755088","Abacavir metabolism|Purine salvage|Purine catabolism|Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane|Ribavirin ADME","58-63-9","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","UGQMRVRMYYASKQ-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues","Purine nucleosides","Unclassified","核苷、核苷酸和类似物","嘌呤核苷",NA,"Level 1",74.18,99.06,96.35,"92.0251, 108.0202, 135.0072, 135.0308, 135.0561, 136.0353, 267.0043, 267.0745, 267.1401, 268.0758","M-H","C10H12N4O5",-0.846,28.5315250184293,28.2575897814237,28.2265672287187,28.1796927302447,27.8997345095183,28.3793294535498,28.369733288106,28.2901410159492,28.4637466179553,28.3677808684694,28.422000530757,28.3752910211456,28.3488643725356,28.3653439339178,28.4432649927787
