"R2X(cum)","R2Y(cum)","Q2(cum)","RMSEE","pre","ort","sim","Permutation","Observed"
0.342,0.982,0.6,0.0771,1,1,1,0,TRUE
0.303,0.967,-0.315,0.104,1,1,0.5,1,FALSE
0.171,0.985,-0.86,0.0712,1,1,0.5,2,FALSE
0.319,0.915,0.0168,0.169,1,1,0.333333333333333,3,FALSE
0.186,0.973,-0.217,0.0956,1,1,0.5,4,FALSE
0.303,0.94,-0.375,0.142,1,1,0.333333333333333,5,FALSE
0.3,0.962,-1.24,0.112,1,1,0.333333333333333,6,FALSE
0.314,0.91,-0.842,0.173,1,1,0.5,7,FALSE
0.336,0.952,0.295,0.127,1,1,0.333333333333333,8,FALSE
0.305,0.925,-0.384,0.158,1,1,0.666666666666667,9,FALSE
0.315,0.922,-0.0521,0.161,1,1,0.666666666666667,10,FALSE
0.315,0.909,-0.552,0.174,1,1,0.5,11,FALSE
0.296,0.952,0.292,0.126,1,1,0.5,12,FALSE
0.284,0.969,0.303,0.102,1,1,0.5,13,FALSE
0.217,0.991,0.346,0.0538,1,1,0.5,14,FALSE
0.263,0.961,-0.319,0.114,1,1,0.5,15,FALSE
0.287,0.931,0.114,0.152,1,1,0.5,16,FALSE
0.296,0.96,-0.281,0.116,1,1,0.5,17,FALSE
0.332,0.957,0.2,0.12,1,1,0.333333333333333,18,FALSE
0.269,0.967,0.442,0.105,1,1,0.666666666666667,19,FALSE
0.333,0.921,-0.00376,0.162,1,1,0.5,20,FALSE
0.329,0.973,0.129,0.0955,1,1,0.5,21,FALSE
0.329,0.974,0.571,0.0933,1,1,0.166666666666667,22,FALSE
0.303,0.955,-0.036,0.122,1,1,0.666666666666667,23,FALSE
0.322,0.967,0.232,0.105,1,1,0.5,24,FALSE
0.309,0.941,-0.581,0.141,1,1,0.5,25,FALSE
0.302,0.975,-0.0545,0.0909,1,1,0.333333333333333,26,FALSE
0.302,0.96,-0.603,0.115,1,1,0.5,27,FALSE
0.324,0.974,0.104,0.0923,1,1,0.333333333333333,28,FALSE
0.229,0.954,-0.311,0.124,1,1,0.666666666666667,29,FALSE
0.19,0.98,-0.202,0.0823,1,1,0.5,30,FALSE
0.292,0.947,-0.297,0.132,1,1,0.333333333333333,31,FALSE
0.174,0.984,-0.68,0.073,1,1,0.5,32,FALSE
0.311,0.936,-0.118,0.146,1,1,0.333333333333333,33,FALSE
0.328,0.983,0.435,0.0756,1,1,0.666666666666667,34,FALSE
0.312,0.917,-0.353,0.167,1,1,0.333333333333333,35,FALSE
0.325,0.916,0.0208,0.168,1,1,0.666666666666667,36,FALSE
0.269,0.972,0.0559,0.0965,1,1,0.5,37,FALSE
0.323,0.91,0.0815,0.173,1,1,0.666666666666667,38,FALSE
0.333,0.921,-0.00376,0.162,1,1,0.5,39,FALSE
0.325,0.95,-0.0557,0.129,1,1,0.5,40,FALSE
0.34,0.955,0.407,0.122,1,1,0.666666666666667,41,FALSE
0.312,0.929,-0.0409,0.154,1,1,0.5,42,FALSE
0.315,0.934,-0.278,0.148,1,1,0.166666666666667,43,FALSE
0.324,0.974,0.104,0.0923,1,1,0.666666666666667,44,FALSE
0.31,0.922,-0.392,0.161,1,1,0.5,45,FALSE
0.238,0.957,-0.213,0.119,1,1,0.5,46,FALSE
0.331,0.959,0.224,0.117,1,1,0.5,47,FALSE
0.33,0.915,0.266,0.168,1,1,0.5,48,FALSE
0.316,0.932,-0.231,0.151,1,1,0.5,49,FALSE
0.353,0.952,0.562,0.126,1,1,0.166666666666667,50,FALSE
0.308,0.952,-0.0294,0.126,1,1,0.5,51,FALSE
0.31,0.966,-0.293,0.107,1,1,0.666666666666667,52,FALSE
0.301,0.916,-0.788,0.167,1,1,0.666666666666667,53,FALSE
0.334,0.941,0.188,0.14,1,1,0.833333333333333,54,FALSE
0.251,0.959,-0.37,0.117,1,1,0.5,55,FALSE
0.331,0.975,0.537,0.0919,1,1,0.833333333333333,56,FALSE
0.326,0.962,0.21,0.112,1,1,0.333333333333333,57,FALSE
0.339,0.944,0.277,0.136,1,1,0.666666666666667,58,FALSE
0.318,0.942,0.115,0.14,1,1,0.666666666666667,59,FALSE
0.315,0.934,-0.278,0.148,1,1,0.833333333333333,60,FALSE
0.275,0.961,0.165,0.114,1,1,0.5,61,FALSE
0.329,0.955,-0.119,0.122,1,1,0.833333333333333,62,FALSE
0.348,0.915,0.37,0.168,1,1,0.333333333333333,63,FALSE
0.171,0.985,-0.86,0.0712,1,1,0.5,64,FALSE
0.351,0.948,0.592,0.132,1,1,0.666666666666667,65,FALSE
0.318,0.942,0.115,0.14,1,1,0.333333333333333,66,FALSE
0.275,0.939,-0.404,0.143,1,1,0.5,67,FALSE
0.324,0.954,0.0862,0.123,1,1,0.666666666666667,68,FALSE
0.326,0.949,0.356,0.13,1,1,0.333333333333333,69,FALSE
0.321,0.959,0.25,0.117,1,1,0.5,70,FALSE
0.317,0.951,0.0625,0.128,1,1,0.5,71,FALSE
0.309,0.973,-0.0333,0.0955,1,1,0.333333333333333,72,FALSE
0.33,0.943,0.0605,0.138,1,1,0.5,73,FALSE
0.228,0.965,0.295,0.109,1,1,0.5,74,FALSE
0.218,0.959,-0.00873,0.117,1,1,0.333333333333333,75,FALSE
0.296,0.952,0.292,0.126,1,1,0.5,76,FALSE
0.264,0.94,0.00186,0.142,1,1,0.5,77,FALSE
0.326,0.935,0.0778,0.148,1,1,0.5,78,FALSE
0.273,0.947,0.174,0.133,1,1,0.5,79,FALSE
0.316,0.94,-0.117,0.142,1,1,0.666666666666667,80,FALSE
0.254,0.959,0.166,0.117,1,1,0.5,81,FALSE
0.313,0.901,-0.553,0.181,1,1,0.666666666666667,82,FALSE
0.329,0.954,0.153,0.124,1,1,0.333333333333333,83,FALSE
0.317,0.979,0.313,0.0845,1,1,0.666666666666667,84,FALSE
0.305,0.945,0.199,0.136,1,1,0.666666666666667,85,FALSE
0.324,0.964,0.0213,0.109,1,1,0.333333333333333,86,FALSE
0.303,0.925,-0.387,0.159,1,1,0.333333333333333,87,FALSE
0.253,0.956,-0.251,0.12,1,1,0.666666666666667,88,FALSE
0.353,0.952,0.562,0.126,1,1,0.833333333333333,89,FALSE
0.34,0.94,0.192,0.142,1,1,0.833333333333333,90,FALSE
0.342,0.979,0.57,0.0837,1,1,0.333333333333333,91,FALSE
0.312,0.968,-0.281,0.103,1,1,0.666666666666667,92,FALSE
0.312,0.954,-0.479,0.124,1,1,0.333333333333333,93,FALSE
0.205,0.971,0.167,0.0975,1,1,0.5,94,FALSE
0.313,0.968,-0.102,0.103,1,1,0.333333333333333,95,FALSE
0.3,0.985,0.0983,0.0717,1,1,0.5,96,FALSE
0.326,0.979,0.433,0.0827,1,1,0.333333333333333,97,FALSE
0.3,0.985,0.0983,0.0717,1,1,0.5,98,FALSE
0.313,0.962,0.445,0.112,1,1,0.333333333333333,99,FALSE
0.325,0.928,0.196,0.155,1,1,0.5,100,FALSE
0.3,0.985,0.0983,0.0717,1,1,0.5,101,FALSE
0.2,0.965,0.0309,0.109,1,1,0.5,102,FALSE
0.31,0.922,-0.392,0.161,1,1,0.5,103,FALSE
0.303,0.939,-0.535,0.142,1,1,0.666666666666667,104,FALSE
0.326,0.949,0.261,0.13,1,1,0.666666666666667,105,FALSE
0.343,0.939,0.247,0.142,1,1,0.333333333333333,106,FALSE
0.237,0.982,0.576,0.0777,1,1,0.5,107,FALSE
0.325,0.919,-0.053,0.164,1,1,0.166666666666667,108,FALSE
0.342,0.926,0.271,0.157,1,1,0.5,109,FALSE
0.19,0.98,-0.202,0.0823,1,1,0.5,110,FALSE
0.307,0.937,-0.333,0.145,1,1,0.5,111,FALSE
0.285,0.937,-0.355,0.145,1,1,0.5,112,FALSE
0.282,0.959,0.317,0.117,1,1,0.666666666666667,113,FALSE
0.269,0.967,0.442,0.105,1,1,0.666666666666667,114,FALSE
0.306,0.917,-0.85,0.167,1,1,0.666666666666667,115,FALSE
0.326,0.965,0.247,0.108,1,1,0.5,116,FALSE
0.321,0.946,0.0541,0.135,1,1,0.5,117,FALSE
0.327,0.943,0.198,0.138,1,1,0.666666666666667,118,FALSE
0.307,0.923,-0.18,0.16,1,1,0.666666666666667,119,FALSE
0.305,0.935,0.0966,0.147,1,1,0.666666666666667,120,FALSE
0.321,0.942,0.23,0.139,1,1,0.5,121,FALSE
0.312,0.968,-0.281,0.103,1,1,0.666666666666667,122,FALSE
0.311,0.974,-0.013,0.0926,1,1,0.666666666666667,123,FALSE
0.326,0.965,0.247,0.108,1,1,0.5,124,FALSE
0.328,0.955,0.418,0.122,1,1,0.666666666666667,125,FALSE
0.325,0.916,0.0208,0.168,1,1,0.666666666666667,126,FALSE
0.327,0.943,0.198,0.138,1,1,0.333333333333333,127,FALSE
0.318,0.973,0.379,0.0944,1,1,0.5,128,FALSE
0.308,0.952,-0.0294,0.126,1,1,0.5,129,FALSE
0.344,0.97,0.38,0.1,1,1,0.5,130,FALSE
0.33,0.943,0.254,0.138,1,1,0.666666666666667,131,FALSE
0.296,0.918,-0.542,0.165,1,1,0.5,132,FALSE
0.319,0.897,-0.683,0.185,1,1,0.333333333333333,133,FALSE
0.321,0.987,0.464,0.0662,1,1,0.833333333333333,134,FALSE
0.318,0.941,-0.0124,0.141,1,1,0.333333333333333,135,FALSE
0.318,0.914,-0.692,0.169,1,1,0.5,136,FALSE
0.21,0.961,-0.0467,0.115,1,1,0.5,137,FALSE
0.325,0.941,0.179,0.14,1,1,0.5,138,FALSE
0.259,0.937,-0.345,0.145,1,1,0.5,139,FALSE
0.326,0.965,0.304,0.108,1,1,0.666666666666667,140,FALSE
0.328,0.963,0.296,0.111,1,1,0.166666666666667,141,FALSE
0.257,0.962,-0.193,0.112,1,1,0.333333333333333,142,FALSE
0.307,0.937,-0.333,0.145,1,1,0.5,143,FALSE
0.313,0.962,0.445,0.112,1,1,0.666666666666667,144,FALSE
0.316,0.944,-0.117,0.137,1,1,0.666666666666667,145,FALSE
0.324,0.954,0.0862,0.123,1,1,0.333333333333333,146,FALSE
0.22,0.955,-0.127,0.122,1,1,0.5,147,FALSE
0.208,0.964,0.195,0.11,1,1,0.333333333333333,148,FALSE
0.311,0.936,-0.118,0.146,1,1,0.666666666666667,149,FALSE
0.303,0.967,-0.315,0.104,1,1,0.5,150,FALSE
0.327,0.936,0.09,0.146,1,1,0.333333333333333,151,FALSE
0.247,0.977,0.387,0.0872,1,1,0.5,152,FALSE
0.315,0.934,-0.278,0.148,1,1,0.166666666666667,153,FALSE
0.324,0.946,-0.0383,0.134,1,1,0.666666666666667,154,FALSE
0.32,0.943,-0.251,0.138,1,1,0.333333333333333,155,FALSE
0.332,0.892,-0.0578,0.19,1,1,0.5,156,FALSE
0.319,0.969,0.422,0.102,1,1,0.5,157,FALSE
0.342,0.919,0.11,0.164,1,1,0.333333333333333,158,FALSE
0.319,0.897,-0.683,0.185,1,1,0.666666666666667,159,FALSE
