"Sample","Group","PredictiveScore","OrthogonalScore","PredictedGroup"
"CON-1","Control",-10.4509622278603,19.7204282657217,"Control"
"CON-2","Control",-11.0431804924181,3.72576998190635,"Control"
"CON-3","Control",-11.9716749234392,-2.21186567169509,"Control"
"CON-4","Control",-14.1351943785842,-7.36448107344994,"Control"
"CON-5","Control",-12.3563954896063,-17.2593229014984,"Control"
"CON-6","Control",-12.0671200921855,3.3894713990153,"Control"
"Asphyxia-1","Asphyxia",15.4047103836545,-15.602659791136,"Asphyxia"
"Asphyxia-2","Asphyxia",10.2941787702549,-0.515981855580621,"Asphyxia"
"Asphyxia-3","Asphyxia",10.5025375748619,-0.724759855585882,"Asphyxia"
"Asphyxia-4","Asphyxia",10.8670855488917,2.97239464558182,"Asphyxia"
"Asphyxia-5","Asphyxia",14.040327720993,4.43790937545294,"Asphyxia"
"Asphyxia-6","Asphyxia",10.9156876054376,9.43309748126788,"Asphyxia"
