"Sample","PC1","PC2","group","sample_role","DisplayGroup"
"CON-1",-7.06080535531229,-7.02838346191094,"Control","biological","Control"
"CON-2",8.00524808384124,5.02796385645724,"Control","biological","Control"
"CON-3",14.5638648830872,-0.427130251363017,"Control","biological","Control"
"CON-4",18.8292076385689,5.43207233311155,"Control","biological","Control"
"CON-5",28.5138433407791,9.23864715526926,"Control","biological","Control"
"CON-6",9.88978420019353,-1.91418871930745,"Control","biological","Control"
"Asphyxia-1",5.51871323561853,-26.1710201801226,"Asphyxia","biological","Asphyxia"
"Asphyxia-2",-8.3938595547924,-6.95473702486822,"Asphyxia","biological","Asphyxia"
"Asphyxia-3",-6.75136204370004,-17.1868749941219,"Asphyxia","biological","Asphyxia"
"Asphyxia-4",-12.6818926230817,8.14665865360186,"Asphyxia","biological","Asphyxia"
"Asphyxia-5",-16.0119473531671,1.92893068210029,"Asphyxia","biological","Asphyxia"
"Asphyxia-6",-19.3244098493588,12.2730583067567,"Asphyxia","biological","Asphyxia"
"QC1",-4.87599085106848,5.01808406200037,"QC","quality_control","QC"
"QC2",-5.36235605980676,6.5134805563022,"QC","quality_control","QC"
"QC3",-4.85803769180103,6.10343902609478,"QC","quality_control","QC"
