"Subject","TargetSample","MetaboliteSample","Omics"
"CON-1","CON-R1-1","CON-1","Transcriptomics"
"CON-2","CON-R1-2","CON-2","Transcriptomics"
"CON-3","CON-R1-3","CON-3","Transcriptomics"
"Asphyxia-1","Asphyxia-R1-1","Asphyxia-1","Transcriptomics"
"Asphyxia-2","Asphyxia-R1-2","Asphyxia-2","Transcriptomics"
"Asphyxia-3","Asphyxia-R1-3","Asphyxia-3","Transcriptomics"
"CON-1","CON-1","CON-1","Proteomics"
"CON-2","CON-2","CON-2","Proteomics"
"CON-3","CON-3","CON-3","Proteomics"
"CON-4","CON-4","CON-4","Proteomics"
"Asphyxia-1","Asphyxia-1","Asphyxia-1","Proteomics"
"Asphyxia-2","Asphyxia-2","Asphyxia-2","Proteomics"
"Asphyxia-3","Asphyxia-3","Asphyxia-3","Proteomics"
"Asphyxia-4","Asphyxia-4","Asphyxia-4","Proteomics"
