"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT4461PR","11-Dehydrocorticosterone","C05490","mmu00140","Steroid hormone biosynthesis"
"FT4483PR","Corticosterone","C02140","mmu00140","Steroid hormone biosynthesis"
"FT4483PR","Corticosterone","C02140","mmu04923","Regulation of lipolysis in adipocytes"
"FT4483PR","Corticosterone","C02140","mmu04925","Aldosterone synthesis and secretion"
"FT4483PR","Corticosterone","C02140","mmu05020","Prion disease"
"FT4993PR","Sphinganine 1-phosphate","C01120","mmu00600","Sphingolipid metabolism"
"FT4993PR","Sphinganine 1-phosphate","C01120","mmu04080","Neuroactive ligand-receptor interaction"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu00600","Sphingolipid metabolism"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04020","Calcium signaling pathway"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04071","Sphingolipid signaling pathway"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04072","Phospholipase D signaling pathway"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04080","Neuroactive ligand-receptor interaction"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04148","Efferocytosis"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04371","Apelin signaling pathway"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu04666","Fc gamma R-mediated phagosome formation"
"FT4274NR","Sphingosine 1-phosphate","C06124","mmu05152","Tuberculosis"
"FT2359PR","Gamma-Glutamylalanine","C03740","mmu00480","Glutathione metabolism"
"FT4461NR","N-Acetylneuraminic acid 9-phosphate","C06241","mmu00541","Biosynthesis of various nucleotide sugars"
"FT5804PR","Glucosylsphingosine","C03108","mmu00600","Sphingolipid metabolism"
"FT5199PR","Palmitoylcarnitine","C02990","mmu00071","Fatty acid degradation"
"FT1064NR","4-Pyridoxic acid","C00847","mmu00750","Vitamin B6 metabolism"
"FT5374PR","Hyaluronic acid","C00518","mmu04613","Neutrophil extracellular trap formation"
"FT5374PR","Hyaluronic acid","C00518","mmu05418","Fluid shear stress and atherosclerosis"
"FT3426NR","Docosapentaenoic acid (22n-3)","C16513","mmu01040","Biosynthesis of unsaturated fatty acids"
