"From","To","EdgeType","Omics","Correlation","Direction","x","y","xend","yend"
"Plcxd2_RNA","Pathway_mmu04917","Plcxd2-pathway","Transcriptomics",0.0809721362279372,"Positive",-3.2,1.25,0,2.5
"Plcxd2_RNA","Pathway_mmu00600","Plcxd2-pathway","Transcriptomics",-0.439480516646997,"Negative",-3.2,1.25,0,1.5
"Plcxd2_RNA","Pathway_mmu00140","Plcxd2-pathway","Transcriptomics",0.587152829200465,"Positive",-3.2,1.25,0,0.5
"Plcxd2_RNA","Pathway_mmu04964","Plcxd2-pathway","Transcriptomics",0.476651235860511,"Positive",-3.2,1.25,0,-0.5
"Plcxd2_RNA","Pathway_mmu04728","Plcxd2-pathway","Transcriptomics",0.167449440762623,"Positive",-3.2,1.25,0,-1.5
"Plcxd2_RNA","Pathway_mmu00360","Plcxd2-pathway","Transcriptomics",0.229333497450726,"Positive",-3.2,1.25,0,-2.5
"Plcxd2_Protein","Pathway_mmu04917","Plcxd2-pathway","Proteomics",0.276457117987761,"Positive",-3.2,-1.25,0,2.5
"Plcxd2_Protein","Pathway_mmu00600","Plcxd2-pathway","Proteomics",-0.622240578361616,"Negative",-3.2,-1.25,0,1.5
"Plcxd2_Protein","Pathway_mmu00140","Plcxd2-pathway","Proteomics",0.540901181813822,"Positive",-3.2,-1.25,0,0.5
"Plcxd2_Protein","Pathway_mmu04964","Plcxd2-pathway","Proteomics",0.940472922541315,"Positive",-3.2,-1.25,0,-0.5
"Plcxd2_Protein","Pathway_mmu04728","Plcxd2-pathway","Proteomics",0.237822163647757,"Positive",-3.2,-1.25,0,-1.5
"Plcxd2_Protein","Pathway_mmu00360","Plcxd2-pathway","Proteomics",0.196469327874504,"Positive",-3.2,-1.25,0,-2.5
"Pathway_mmu00140","FT4461PR","Pathway-metabolite","Membership",NA,"Membership",0,0.5,3.2,4.5
"Pathway_mmu00140","FT4483PR","Pathway-metabolite","Membership",NA,"Membership",0,0.5,3.2,3.5
"Pathway_mmu00360","FT1339NR","Pathway-metabolite","Membership",NA,"Membership",0,-2.5,3.2,2.5
"Pathway_mmu00360","FT1738PR","Pathway-metabolite","Membership",NA,"Membership",0,-2.5,3.2,1.5
"Pathway_mmu00600","FT5804PR","Pathway-metabolite","Membership",NA,"Membership",0,1.5,3.2,0.5
"Pathway_mmu00600","FT4993PR","Pathway-metabolite","Membership",NA,"Membership",0,1.5,3.2,-0.5
"Pathway_mmu04728","FT1060PR","Pathway-metabolite","Membership",NA,"Membership",0,-1.5,3.2,-1.5
"Pathway_mmu04728","FT1738PR","Pathway-metabolite","Membership",NA,"Membership",0,-1.5,3.2,1.5
"Pathway_mmu04917","FT2131NR","Pathway-metabolite","Membership",NA,"Membership",0,2.5,3.2,-2.5
"Pathway_mmu04917","FT1060PR","Pathway-metabolite","Membership",NA,"Membership",0,2.5,3.2,-1.5
"Pathway_mmu04964","FT0521NR","Pathway-metabolite","Membership",NA,"Membership",0,-0.5,3.2,-3.5
"Pathway_mmu04964","FT1228PR","Pathway-metabolite","Membership",NA,"Membership",0,-0.5,3.2,-4.5
