"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"FT4423NR","(4-Ethylnaphthalen-1-yl)[1-(5-fluoropentyl)-1H-indol-3-yl]methanone",NA,"Indoles and derivatives","Naphthoylindoles",0.215132131815698,FALSE,-0.0917446574942161,-0.969220227985987,-7.87358683722762,0.0014065112565673,0.543555659481085,6,"Transcriptomics"
"FT1502PR","Methionine sulfoxide","C02989","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.45713733237895,FALSE,-0.172469177027985,-0.960680836334303,-6.91995922260508,0.00228860129976705,0.543555659481085,6,"Transcriptomics"
"FT1608NR","D-Ribose 5-phosphate","C03736","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.02696141389725,FALSE,0.265572035280879,0.959340839491227,6.79780542400791,0.00244614280194148,0.543555659481085,6,"Transcriptomics"
"FT1788PR","Acesulfame",NA,"Organic sulfuric acids and derivatives","Unclassified",1.40983900524928,TRUE,-0.543046513870486,-0.958528543474067,-6.72659761149548,0.00254415955986556,0.543555659481085,6,"Transcriptomics"
"FT7545PR","PC(P-16:0/22:6)",NA,"Glycerophospholipids","Glycerophosphocholines",1.86876087100892,TRUE,-1.0609729005247,-0.950619039234697,-6.12590851519842,0.00359751170417957,0.543555659481085,6,"Transcriptomics"
"FT3640NR","N-stearoyl glycine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.77882722616076,FALSE,0.286191592579965,0.948494180142862,5.98807122425905,0.00391095562504318,0.543555659481085,6,"Transcriptomics"
"FT6800NR","LPS(O-19:1;O/0:0)",NA,"Glycerophospholipids","Glycerophosphoserines",0.946775461668051,FALSE,0.32029150015615,0.945119391136769,5.78540913811621,0.00443517490595732,0.543555659481085,6,"Transcriptomics"
"FT1357NR","4-Nitrophenyl butyrate",NA,"Phenol esters","Unclassified",1.25549682191503,FALSE,-0.465262060546137,-0.942872344016389,-5.66027533765421,0.00480213359148417,0.543555659481085,6,"Transcriptomics"
"FT5735PR","lysoPE(0:0/16:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.446913310782394,FALSE,-0.0720814736931549,-0.942728055597321,-5.65248550889685,0.00482618526934696,0.543555659481085,6,"Transcriptomics"
"FT6885PR","Cytidine 5'-monophosphate-N-acetylneuraminic acid","C00128","Pyrimidine nucleotides","Pyrimidine nucleotide sugars",1.3352075324182,FALSE,0.744223881098766,0.940874474356396,5.55488983619725,0.00514039534634491,0.543555659481085,6,"Transcriptomics"
"FT3193PR","Prolyl-Arginine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.484586848433177,FALSE,-0.304103292538381,-0.939578934003338,-5.48927951692332,0.00536576807385906,0.543555659481085,6,"Transcriptomics"
"FT1612PR","D-Arabinose",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.0993419518193267,FALSE,0.00400376402691405,0.937864639151979,5.40553925981833,0.00567125840568281,0.543555659481085,6,"Transcriptomics"
"FT1520NR","3-Amino-5-(3-thiophenyl)-2-thiophenecarboxamide",NA,"Bi- and oligothiophenes","Unclassified",0.00551241302199234,FALSE,0.0463476312161149,0.934864404277826,5.26676762657974,0.00622579511333347,0.543555659481085,6,"Transcriptomics"
"FT2336PR","Propionylcarnitine","C03017","Fatty Acyls","Fatty acid esters",0.795938432777036,FALSE,0.282307076029231,0.933998682697227,5.22843689458498,0.00639050422112383,0.543555659481085,6,"Transcriptomics"
"FT2583NR","Cystine","C01420","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.366209133259944,FALSE,0.0993056675735975,0.927248353734893,4.95262918223945,0.00774667302075011,0.543555659481085,6,"Transcriptomics"
"FT6658NR","LysoPE(22:6/0:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.562981269884907,FALSE,-0.214328219772786,-0.924325353946169,-4.8444046383155,0.00837329689937697,0.543555659481085,6,"Transcriptomics"
"FT1680NR","Cysteinylhydroxyproline",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.10799805589927,FALSE,0.315364365302411,0.923381917764389,4.81075188032703,0.0085806090547191,0.543555659481085,6,"Transcriptomics"
"FT1669NR","Protocatechuic acid 3-O-sulfate",NA,"Organic sulfuric acids and derivatives","Arylsulfates",1.44572754818535,TRUE,0.649380440590364,0.921815488306535,4.75617458504138,0.00893026296304888,0.543555659481085,6,"Transcriptomics"
"FT2792NR","N5-(3,4-Dioxo-1,5-cyclohexadien-1-yl)-L-glutamine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.884920063935394,FALSE,-0.232792120874617,-0.921195813032614,-4.73501641503213,0.00907045888922976,0.543555659481085,6,"Transcriptomics"
"FT5490PR","ADP","C00008","Purine nucleotides","Purine ribonucleotides",0.130676641098462,FALSE,0.0436726616027161,0.920896173016435,4.72487116322594,0.00913863041086747,0.543555659481085,6,"Transcriptomics"
"FT6983NR","UDP-GlcNAc","C00043","Pyrimidine nucleotides","Pyrimidine nucleotide sugars",0.797473623342542,FALSE,0.218525207312762,0.920035767334285,4.69604403231922,0.00933576097164062,0.543555659481085,6,"Transcriptomics"
"FT5078PR","N-Stearoyl Cysteine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.603852891474866,FALSE,-0.231236711239321,-0.918574114442364,-4.64808073425854,0.00967532832944027,0.543555659481085,6,"Transcriptomics"
"FT0901NR","Dihydroxyacetone phosphate","C00111","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.16210122307745,FALSE,0.341028830988061,0.91774635271229,4.62146318648325,0.00987024353004868,0.543555659481085,6,"Transcriptomics"
"FT4172NR","FA(20:2;O4)",NA,"Fatty Acyls","Eicosanoids",0.79394090506322,FALSE,-0.316952463232586,0.916864022768834,4.5935111094728,0.010080085141315,0.543555659481085,6,"Transcriptomics"
"FT2183NR","1,4-Butanediphosphonic acid",NA,"Organic phosphonic acids and derivatives","Organic phosphonic acids",1.40087025281811,FALSE,0.687345990461261,0.916596894113355,4.58513233867554,0.0101440378493302,0.543555659481085,6,"Transcriptomics"
"FT5856PR","Prim-O-glucosylcimifugin",NA,"Benzopyrans","1-benzopyrans",0.897534481006253,FALSE,0.375005470133662,0.915761225021394,4.55916736953995,0.0103453704299642,0.543555659481085,6,"Transcriptomics"
"FT0482NR","Monoethyl malonic acid",NA,"Carboxylic acids and derivatives","Dicarboxylic acids and derivatives",0.80458853475371,FALSE,-0.347968152348418,-0.914917112374498,-4.53331237346755,0.010550684979144,0.543555659481085,6,"Transcriptomics"
"FT4079PR","FA(21:3;O)",NA,"Fatty Acyls","Fatty acids and conjugates",0.854541350622577,FALSE,0.345368370743178,0.911708156386725,4.43828050328723,0.0113490371623104,0.543896992986746,6,"Transcriptomics"
"FT5274NR","24-epibrassicasterol","C08813","Steroids and steroid derivatives","Ergostane steroids",0.0629805782354515,FALSE,-0.0475622742286865,-0.910444291150325,-4.40219773272586,0.011671209014404,0.543896992986746,6,"Transcriptomics"
"FT4339NR","(S)-malyl N-acetyl-alpha-D-glucosaminide",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.44721242896836,TRUE,0.670370633988114,0.910214146510938,4.39570552324065,0.0117303449242289,0.543896992986746,6,"Transcriptomics"
"FT1115NR","Antipyrine","C13244","Azoles","Pyrazoles",0.110891115414134,FALSE,-0.00378120446498477,-0.907772793517213,-4.32826961176003,0.0123665506801135,0.554899096646383,6,"Transcriptomics"
"FT1960PR","4-Piperidinol, 1-hydroxy-2,2,6,6-tetramethyl-",NA,"Piperidines","Unclassified",0.972603340484987,FALSE,-0.380155372525686,-0.905267494349013,-4.26166620658799,0.0130362949583563,0.56667144647105,6,"Transcriptomics"
"FT0999NR","Ureidosuccinic acid","C00438","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.878400040363543,FALSE,0.225910251946079,0.900146173652573,4.13301683145481,0.0144583693556728,0.59844341835905,6,"Transcriptomics"
"FT4548PR","Dihomolinoleoyl-EA",NA,"Organonitrogen compounds","Amines",1.23734630879378,FALSE,-0.798804925836638,-0.899553013488632,-4.11872307743583,0.0146276608369574,0.59844341835905,6,"Transcriptomics"
"FT5070NR","14-Epi-19-nortachysterol",NA,"Steroids and steroid derivatives","Vitamin D and derivatives",1.70080546333608,TRUE,0.780665156369514,0.896778682985772,4.05342595294717,0.015432067427903,0.598851755558511,6,"Transcriptomics"
"FT2874PR","Demeton-S-methyl","C18655","Organothiophosphorus compounds","Unclassified",0.11299000654857,FALSE,-0.0194207206692339,0.896552101066601,4.04820318441787,0.0154986795112196,0.598851755558511,6,"Transcriptomics"
"FT2896PR","Palmitoleamide",NA,"Fatty Acyls","Fatty amides",0.590111792836155,FALSE,-0.232429524671623,-0.894531618945552,-4.00233671696934,0.0160987761478266,0.60522696274667,6,"Transcriptomics"
"FT3513PR","Helicallenal",NA,"Prenol lipids","Sesquiterpenoids",0.647962245377558,FALSE,0.255261829506812,0.892579283135913,3.9591844420036,0.016689040490162,0.610906718995139,6,"Transcriptomics"
"FT6019NR","Isolimonic acid",NA,"Naphthofurans","Unclassified",1.3660130219151,TRUE,0.688196566540549,0.88891717991431,3.88115858789418,0.0178237420955357,0.635713468074108,6,"Transcriptomics"
"FT3771NR","Neoabietic acid","C11889","Prenol lipids","Diterpenoids",0.57462560061635,FALSE,-0.152862750066118,-0.88566406167553,-3.81483251687057,0.0188617200900228,0.655916316130542,6,"Transcriptomics"
"FT2885NR","2-Hexenoylcarnitine",NA,"Fatty Acyls","Fatty acid esters",3.64011917745827,TRUE,-4.16825204973238,-0.883789370762956,-3.77780617641439,0.0194726584568582,0.660645558865604,6,"Transcriptomics"
"FT2764PR","S-3-oxodecanoyl cysteamine",NA,"Fatty Acyls","Fatty acyl thioesters",0.164334448239531,FALSE,-0.122793890499572,-0.878321116236242,-3.67443687413557,0.0213078525184761,0.67419337390447,6,"Transcriptomics"
"FT4439NR","Adunctin C",NA,"Linear 1,3-diarylpropanoids","Chalcones and dihydrochalcones",1.16237215056455,FALSE,0.377566539451297,0.877780064177489,3.66456408634344,0.0214937259241621,0.67419337390447,6,"Transcriptomics"
"FT4742NR","6-Hydroxy-5-[(4-sulfophenyl)azo]-2-naphthalenesulfonic acid",NA,"Naphthalenes","Naphthalene sulfonic acids and derivatives",0.777966211128782,FALSE,0.321261698555731,0.875647872734571,3.62624571541094,0.0222337207852637,0.67419337390447,6,"Transcriptomics"
"FT1631NR","9-(Methylthio)nonanenitrile",NA,"Organonitrogen compounds","Organic cyanides",0.0037444690013956,FALSE,-0.0423081153159178,-0.874808846539201,-3.61141871559056,0.0225281878433547,0.67419337390447,6,"Transcriptomics"
"FT3037NR","Zilascorb",NA,"Dihydrofurans","Furanones",0.664938300510862,FALSE,0.215760693150944,0.873862748522289,3.59486554413417,0.022862449247168,0.67419337390447,6,"Transcriptomics"
"FT3082NR","MG(0:0/16:0)",NA,"Glycerolipids","Monoradylglycerols",1.45663525483969,FALSE,1.18209719490525,0.873522513374247,3.58895511424123,0.0229832299230465,0.67419337390447,6,"Transcriptomics"
"FT2756NR","Demethoxyegonol",NA,"2-arylbenzofuran flavonoids","Unclassified",0.853661827954331,FALSE,-0.242252432568002,-0.8727327443759,-3.57532087639347,0.0232647605660781,0.67419337390447,6,"Transcriptomics"
"FT1908PR","2-Amino-3-methyl-1-pyrrolidin-1-YL-butan-1-one",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.50885694536673,FALSE,-0.213294576627999,-0.869193971609152,-3.51565002561387,0.0245462658255977,0.69681338292666,6,"Transcriptomics"
"FT3588PR","1-(1-(3-Methoxyphenyl)cyclohexyl)piperidine",NA,"Phenol ethers","Anisoles",1.25707571187535,FALSE,-0.611311114930951,-0.867177430316519,-3.4826451668029,0.0252911355955182,0.703599392267318,6,"Transcriptomics"
"FT0707NR","4-Mercapto-2-butanone",NA,"Organooxygen compounds","Carbonyl compounds",1.37488172445992,TRUE,-0.841144848910104,-0.861531021028877,-3.39382567973282,0.027433008773251,0.717627196300257,6,"Transcriptomics"
"FT2434PR","(E,E)-2,4-Decadienoic isobutylamide",NA,"Fatty Acyls","Fatty amides",0.766190294074245,FALSE,-0.370313341002852,-0.861194932875946,-3.38869803271061,0.0275631020170623,0.717627196300257,6,"Transcriptomics"
"FT2989PR","Car(6:0)",NA,"Fatty Acyls","Fatty acid esters",2.26577880677495,TRUE,1.5903234483011,0.858996742581901,3.35558021718413,0.0284211702604342,0.717627196300257,6,"Transcriptomics"
"FT3860NR","Prostaglandin F2a","C00639","Fatty Acyls","Eicosanoids",0.92189815224096,FALSE,0.299608659060848,0.857869713370712,3.33887674862702,0.028865939299899,0.717627196300257,6,"Transcriptomics"
"FT2350NR","Deoxycytidine","C00881","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides",1.21746894954513,FALSE,0.630988600227895,0.855402811541883,3.30294726308268,0.0298508762757422,0.717627196300257,6,"Transcriptomics"
"FT3483NR","Glycerophosphoinositol","C01225","Glycerophospholipids","Glycerophosphoinositols",1.10985538010562,FALSE,0.419375187342363,0.85284619810153,3.26659493634556,0.0308881101441731,0.717627196300257,6,"Transcriptomics"
