"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","DirectionPattern","Concordant","MeanAbsR","MinAbsR"
"FT2792NR","N5-(3,4-Dioxo-1,5-cyclohexadien-1-yl)-L-glutamine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.884920063935394,FALSE,-0.232792120874617,-0.921195813032614,0.00907045888922976,0.543555659481085,6,-0.855577882656257,0.00673865105019477,0.408420850607457,8,"RNA negative / Protein negative",TRUE,0.888386847844435,0.855577882656257
"FT3412NR","Taurolidine",NA,"Thiadiazinanes","Unclassified",0.805325123285155,FALSE,-0.205322478428508,-0.827100375021311,0.0422570655486816,0.717627196300257,6,-0.810948838685169,0.0145873684268835,0.501477491291417,8,"RNA negative / Protein negative",TRUE,0.81902460685324,0.810948838685169
"FT5055PR","2-Hydroxyethyl glucosinolate",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.0949976084565,FALSE,-0.358435440279433,-0.809359086908013,0.0510516139719214,0.717627196300257,6,-0.803523081708286,0.0162772456985055,0.501477491291417,8,"RNA negative / Protein negative",TRUE,0.80644108430815,0.803523081708286
"FT4958PR","MG(0:0/20:4)",NA,"Endocannabinoids","Unclassified",0.568453126355037,FALSE,-0.280860243355851,-0.839590469346503,0.0365330600235906,0.717627196300257,6,-0.772679271172173,0.0245876948146898,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.806134870259338,0.772679271172173
"FT3584PR","Argininosuccinic acid","C03406","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.20149569715183,FALSE,0.726391125322012,0.77224596356336,0.071900834241689,0.760267849808906,6,0.841444551331497,0.00881770023022333,0.425136786510782,8,"RNA positive / Protein positive",TRUE,0.806845257447428,0.77224596356336
"FT1908PR","2-Amino-3-methyl-1-pyrrolidin-1-YL-butan-1-one",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.50885694536673,FALSE,-0.213294576627999,-0.869193971609152,0.0245462658255977,0.69681338292666,6,-0.772063652841978,0.0247755727863844,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.820628812225565,0.772063652841978
"FT6256PR","LysoPC(0:0/18:2)",NA,"Glycerophospholipids","Glycerophosphocholines",0.0898616677006846,FALSE,-0.0288601236637539,-0.774901699934665,0.0703010866155391,0.760267849808906,6,-0.77150578207063,0.0249465925645233,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.773203741002648,0.77150578207063
"FT3513PR","Helicallenal",NA,"Prenol lipids","Sesquiterpenoids",0.647962245377558,FALSE,0.255261829506812,0.892579283135913,0.016689040490162,0.610906718995139,6,0.763291673012148,0.0275496103802987,0.542455027678593,8,"RNA positive / Protein positive",TRUE,0.827935478074031,0.763291673012148
"FT4532NR","Millettosin",NA,"Isoflavonoids","Rotenoids",1.66473978591663,FALSE,-1.009539935759,-0.75566608737797,0.082255338726236,0.760267849808906,6,-0.859389587146229,0.00623778972862549,0.408420850607457,8,"RNA negative / Protein negative",TRUE,0.8075278372621,0.75566608737797
"FT3686PR","Linoleamide",NA,"Fatty Acyls","Fatty amides",1.30103561967089,FALSE,-0.677586207036801,-0.822254364295324,0.0445824621685985,0.717627196300257,6,-0.75496577662961,0.0303525768715425,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.788610070462467,0.75496577662961
"FT3905NR","FA(22:0;O)",NA,"Fatty Acyls","Fatty acids and conjugates",1.74093205140834,TRUE,-0.866447739921784,-0.753393850535577,0.083723263130729,0.760267849808906,6,-0.936971692823159,0.000596743589515155,0.249161067041036,8,"RNA negative / Protein negative",TRUE,0.845182771679368,0.753393850535577
