"PathwayID","PathwayName","SetSize","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","Concordant","MeanAbsR","MinAbsR","VIPORAFoldEnrichment","VIPORAOverlap","VIPORAPvalue","VIPORAFDR"
"mmu04921","Oxytocin signaling pathway",4,0.825454097713613,0.0430405265392487,0.565060988679585,6,0.860732580007739,0.00606717805161543,0.133365221047323,8,TRUE,0.843093338860676,0.825454097713613,0,0,1,1
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",3,0.74450169400426,0.0895796904889715,0.565060988679585,6,0.819953902168133,0.0126918371291363,0.199777643694951,8,TRUE,0.782227798086196,0.74450169400426,3.59090909090909,1,0.254403903828509,1
"mmu04122","Sulfur relay system",4,0.714467549803125,0.110653613999186,0.565060988679585,6,0.921786769261035,0.00112706864593861,0.0401987817051438,8,TRUE,0.81812715953208,0.714467549803125,2.69318181818182,1,0.324502682101042,1
"mmu05012","Parkinson disease",8,0.701983955864829,0.119986410552828,0.565060988679585,6,0.751008271909784,0.0317438868174553,0.308781444497065,8,TRUE,0.726496113887307,0.701983955864829,2.69318181818182,2,0.163590094150786,1
"mmu04913","Ovarian steroidogenesis",4,0.693209937261933,0.126742651666449,0.565060988679585,6,0.769785113954783,0.0254786730628228,0.272621801772204,8,TRUE,0.731497525608358,0.693209937261933,0,0,1,1
"mmu04924","Renin secretion",4,0.710323811469417,0.113714744524819,0.565060988679585,6,0.66039838712844,0.0746698028893089,0.476597133826944,8,TRUE,0.685361099298929,0.66039838712844,0,0,1,1
"mmu00541","Biosynthesis of various nucleotide sugars",6,0.638190316477567,0.172677796720425,0.660122037864857,6,0.818094989160611,0.0130695654753706,0.199777643694951,8,TRUE,0.728142652819089,0.638190316477567,1.79545454545455,1,0.446291139631071,1
"mmu04726","Serotonergic synapse",8,0.63266932738075,0.177615435911584,0.660122037864857,6,0.797076316753478,0.0178397154171432,0.23860619370429,8,TRUE,0.714872822067114,0.63266932738075,0,0,1,1
"mmu04931","Insulin resistance",3,0.631287071839633,0.178860716969782,0.660122037864857,6,0.658358372755482,0.0758917996689895,0.476597133826944,8,TRUE,0.644822722297558,0.631287071839633,3.59090909090909,1,0.254403903828509,1
"mmu00250","Alanine, aspartate and glutamate metabolism",16,0.620678380835389,0.188538011279216,0.660122037864857,6,0.924297225765144,0.00102396560074416,0.0401987817051438,8,TRUE,0.772487803300267,0.620678380835389,0.673295454545455,1,0.800724763430022,1
"mmu00240","Pyrimidine metabolism",13,0.949672970019414,0.00373548051893967,0.199848207763273,6,0.61198611193174,0.106841350828833,0.501506867953952,8,TRUE,0.780829540975577,0.61198611193174,0.828671328671329,1,0.727866650780027,1
"mmu05200","Pathways in cancer",5,0.586387832024501,0.221233182154868,0.660122037864857,6,0.8594346201996,0.00623201967510857,0.133365221047323,8,TRUE,0.72291122611205,0.586387832024501,2.15454545454545,1,0.388283544735279,1
"mmu00220","Arginine biosynthesis",11,0.584428115084961,0.223165356794909,0.660122037864857,6,0.78779327026422,0.0202492183977479,0.240740707617669,8,TRUE,0.68611069267459,0.584428115084961,0.979338842975207,1,0.665846112048787,1
"mmu05022","Pathways of neurodegeneration - multiple diseases",6,0.715550672928931,0.10985953006786,0.565060988679585,6,0.583631420746517,0.128797246868225,0.506870432380116,8,TRUE,0.649591046837724,0.583631420746517,0,0,1,1
"mmu04082","Neuroactive ligand signaling",7,0.785080228449782,0.0643221355693867,0.565060988679585,6,0.570843161849806,0.139458299785325,0.506870432380116,8,TRUE,0.677961695149794,0.570843161849806,1.53896103896104,1,0.499025316809064,1
"mmu04923","Regulation of lipolysis in adipocytes",4,0.6172115890523,0.19174603879795,0.660122037864857,6,0.569106563525549,0.140942435860276,0.506870432380116,8,TRUE,0.593159076288925,0.569106563525549,2.69318181818182,1,0.324502682101042,1
"mmu00562","Inositol phosphate metabolism",4,0.555693978713784,0.25225701472378,0.692089758344729,6,0.674667950571752,0.0664459805414847,0.473981327862591,8,TRUE,0.615180964642768,0.555693978713784,2.69318181818182,1,0.324502682101042,1
"mmu05014","Amyotrophic lateral sclerosis",3,0.887077192355554,0.018407369723476,0.393917712082387,6,0.547038123630896,0.160560024531903,0.520819330923092,8,TRUE,0.717057657993225,0.547038123630896,0,0,1,1
"mmu04068","FoxO signaling pathway",3,0.706526585286561,0.116552027391302,0.565060988679585,6,0.542559305202041,0.16471257735221,0.520819330923092,8,TRUE,0.624542945244301,0.542559305202041,0,0,1,1
