"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Transcriptomics","GO CC","GO:0098800","inner mitochondrial membrane protein complex",6,146,19,17692,"6/19","146/17692",38.2667627974045,7.07455861635225e-09,"17711/17716/100042179/17718/17722/17705",5.36251543119501e-06,"CYTB/ND1/Pam16l/ND3/ND6/ATP6"
"Transcriptomics","GO MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity",4,33,19,17692,"4/19","33/17692",112.867623604466,3.81083896716645e-08,"17711/17716/17718/17722",4.65303437891023e-05,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO MF","GO:0009055","electron transfer activity",4,49,19,17692,"4/19","49/17692",76.0128893662728,1.95185580279383e-07,"17711/17716/17718/17722",0.000119160796760563,"CYTB/ND1/ND3/ND6"
"Transcriptomics","KEGG","mmu00190","Oxidative phosphorylation",5,133,19,17692,"5/19","133/17692",35.0059358923625,2.37874018661065e-07,"17705/17711/17716/17718/17722",8.34937805500339e-05,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0006119","oxidative phosphorylation",5,142,19,17692,"5/19","142/17692",32.7872498146775,3.29653255171971e-07,"17711/17716/17718/17722/17705",0.00119756107216811,"CYTB/ND1/ND3/ND6/ATP6"
"Transcriptomics","GO CC","GO:0098798","mitochondrial protein-containing complex",6,291,19,17692,"6/19","291/17692",19.1991318502442,4.26194953595434e-07,"17711/17716/100042179/17718/17722/17705",0.00016152788741267,"CYTB/ND1/Pam16l/ND3/ND6/ATP6"
"Transcriptomics","GO BP","GO:0019646","aerobic electron transport chain",4,63,19,17692,"4/19","63/17692",59.1211361737677,5.43547832171271e-07,"17711/17716/17718/17722",0.00119756107216811,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",4,65,19,17692,"4/19","65/17692",57.302024291498,6.16964088899658e-07,"17716/17718/17722/17705",0.00119756107216811,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO BP","GO:0015986","proton motive force-driven ATP synthesis",4,69,19,17692,"4/19","69/17692",53.9801678108314,7.8565293807674e-07,"17716/17718/17722/17705",0.00119756107216811,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity",3,18,19,17692,"3/19","18/17692",155.19298245614,8.48178467238799e-07,"17716/17718/17722",0.000307242870710507,"ND1/ND3/ND6"
"Transcriptomics","GO MF","GO:0050136","NADH dehydrogenase (quinone) activity",3,19,19,17692,"3/19","19/17692",147.024930747922,1.00652865097627e-06,"17716/17718/17722",0.000307242870710507,"ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport",4,75,19,17692,"4/19","75/17692",49.6617543859649,1.1000988108531e-06,"17711/17716/17718/17722",0.00119756107216811,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0042773","ATP synthesis coupled electron transport",4,77,19,17692,"4/19","77/17692",48.3718386876282,1.22318007745471e-06,"17711/17716/17718/17722",0.00119756107216811,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0009060","aerobic respiration",5,188,19,17692,"5/19","188/17692",24.7648376259798,1.32368980028056e-06,"17711/17716/17718/17722/17705",0.00119756107216811,"CYTB/ND1/ND3/ND6/ATP6"
"Transcriptomics","GO MF","GO:0003954","NADH dehydrogenase activity",3,21,19,17692,"3/19","21/17692",133.022556390977,1.37963615448907e-06,"17716/17718/17722",0.000324865311801729,"ND1/ND3/ND6"
