"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Proteomics","GO MF","GO:0004866","endopeptidase inhibitor activity",10,56,76,7403,"10/76","56/7403",17.3942669172932,1.72447117903989e-10,"11625/20700/94175/59083/20703/20701/16644/11699/20704/20714",8.57749904152399e-08,"Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
"Proteomics","GO MF","GO:0030414","peptidase inhibitor activity",10,57,76,7403,"10/76","57/7403",17.0891043397969,2.07436494353664e-10,"11625/20700/94175/59083/20703/20701/16644/11699/20704/20714",8.57749904152399e-08,"Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
"Proteomics","GO MF","GO:0061134","peptidase regulator activity",11,79,76,7403,"11/76","79/7403",13.5631245836109,3.27582144149227e-10,"11783/11625/20700/94175/59083/20703/20701/16644/11699/20704/20714",8.66804913700771e-08,"Apaf1/Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
"Proteomics","GO MF","GO:0061135","endopeptidase regulator activity",10,61,76,7403,"10/76","61/7403",15.9685073339085,4.19252678936286e-10,"11625/20700/94175/59083/20703/20701/16644/11699/20704/20714",8.66804913700771e-08,"Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
"Proteomics","GO BP","GO:0010466","negative regulation of peptidase activity",11,90,76,7403,"11/76","90/7403",11.9054093567251,1.37908230000354e-09,"11625/20700/94175/59083/20703/11540/20701/16644/11699/20704/20714",6.13415807041575e-06,"Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Adora2a/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
"Proteomics","GO BP","GO:0010951","negative regulation of endopeptidase activity",10,74,76,7403,"10/76","74/7403",13.1632290184922,3.00332964481461e-09,"11625/20700/94175/59083/20703/11540/20701/16644/20704/20714",6.6794051300677e-06,"Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Adora2a/Serpina1b/Kng1/Serpina1e/Serpina3k"
"Proteomics","GO MF","GO:0004867","serine-type endopeptidase inhibitor activity",7,33,76,7403,"7/76","33/7403",20.6622807017544,3.13034911070425e-08,"20700/94175/20703/20701/11699/20704/20714",5.17759742910484e-06,"Serpina1a/Hrg/Serpina1d/Serpina1b/Ambp/Serpina1e/Serpina3k"
"Proteomics","KEGG","mmu04610","Complement and coagulation cascades",7,42,76,7403,"7/76","42/7403",16.234649122807,1.83631561110781e-07,"12279/13136/16644/20700/20701/20703/20704",5.78439417498959e-05,"C9/Cd55/Kng1/Serpina1a/Serpina1b/Serpina1d/Serpina1e"
"Proteomics","GO BP","GO:0052547","regulation of peptidase activity",12,178,76,7403,"12/76","178/7403",6.56682436428149,2.09383668466728e-07,"11783/11625/20700/94175/59083/20703/11540/20701/16644/11699/20704/20714",0.000234827732957049,"Apaf1/Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Adora2a/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
"Proteomics","GO BP","GO:0051346","negative regulation of hydrolase activity",11,148,76,7403,"11/76","148/7403",7.2397759601707,2.63970023557834e-07,"11625/20700/94175/59083/20703/11540/20701/16644/11699/20704/20714",0.000234827732957049,"Ahsg/Serpina1a/Hrg/Fetub/Serpina1d/Adora2a/Serpina1b/Kng1/Ambp/Serpina1e/Serpina3k"
