"Omics","FeatureID","GeneName","EntrezID","Candidate"
"Transcriptomics","ENSMUSG00000078377","Gm4294","100043209",TRUE
"Transcriptomics","ENSMUSG00000007653","Gabrb2","14401",FALSE
"Transcriptomics","ENSMUSG00000064351","mt-Co1","17708",FALSE
"Transcriptomics","ENSMUSG00000023036","Pcdhgc4","93707",FALSE
"Transcriptomics","ENSMUSG00000038274","Fau","14109",FALSE
"Transcriptomics","ENSMUSG00000090381","Gm6158",NA,TRUE
"Transcriptomics","ENSMUSG00000102070","Gm28661",NA,TRUE
"Transcriptomics","ENSMUSG00000047215","Rpl9","20005",TRUE
"Transcriptomics","ENSMUSG00000061808","Ttr","22139",FALSE
"Transcriptomics","ENSMUSG00000093674","Rpl41","67945",FALSE
"Transcriptomics","ENSMUSG00000037071","Scd1","20249",FALSE
"Transcriptomics","ENSMUSG00000064370","mt-Cytb","17711",TRUE
"Transcriptomics","ENSMUSG00000064341","mt-Nd1","17716",TRUE
"Transcriptomics","ENSMUSG00000044533","Rps2","16898",FALSE
"Transcriptomics","ENSMUSG00000057036","Gm7536","665189",FALSE
"Transcriptomics","ENSMUSG00000045886","Pam16l","100042179",TRUE
"Transcriptomics","ENSMUSG00000063457","Rps15","20054",FALSE
"Transcriptomics","ENSMUSG00000059325","Hopx","74318",TRUE
"Transcriptomics","ENSMUSG00000062661","Ncs1","14299",FALSE
"Transcriptomics","ENSMUSG00000029638","Glcci1","170772",TRUE
"Transcriptomics","ENSMUSG00000047126","Cltc","67300",FALSE
"Transcriptomics","ENSMUSG00000045128","Rpl18a","76808",FALSE
"Transcriptomics","ENSMUSG00000064360","mt-Nd3","17718",TRUE
"Transcriptomics","ENSMUSG00000010663","Fads1","76267",FALSE
"Transcriptomics","ENSMUSG00000059291","Rpl11","67025",FALSE
"Transcriptomics","ENSMUSG00000040952","Rps19","20085",FALSE
"Transcriptomics","ENSMUSG00000022054","Nefm","18040",FALSE
"Transcriptomics","ENSMUSG00000083563","Gm13340",NA,FALSE
"Transcriptomics","ENSMUSG00000024608","Rps14","20044",FALSE
"Transcriptomics","ENSMUSG00000041453","Rpl21","19933",FALSE
"Transcriptomics","ENSMUSG00000008668","Rps18","20084",FALSE
"Transcriptomics","ENSMUSG00000027301","Oxt","18429",TRUE
"Transcriptomics","ENSMUSG00000064368","mt-Nd6","17722",TRUE
"Transcriptomics","ENSMUSG00000032518","Rpsa","16785",FALSE
"Transcriptomics","ENSMUSG00000060419","Rps16-ps2",NA,FALSE
"Transcriptomics","ENSMUSG00000039001","Rps21","66481",FALSE
"Transcriptomics","ENSMUSG00000062328","Rpl17","319195",FALSE
"Transcriptomics","ENSMUSG00000074129","Rpl13a","22121",FALSE
"Transcriptomics","ENSMUSG00000057322","Rpl38","67671",FALSE
"Transcriptomics","ENSMUSG00000024665","Fads2","56473",FALSE
"Transcriptomics","ENSMUSG00000068240","Uba52rt","666586",FALSE
